edge_id,from_node_id,to_node_id,from_label,to_label,from_type,to_type,edge_label_raw,role_canonical,tie_class,layer,is_former,is_self_loop,source_line,evidence
SEEDE_1359eb6f3070544c,PERSON_LAABIDI_TAREK,CO_GESTION_RESTAURATION_DANIMATION_TOURISTIQUE_GERAT,TAREK LAABIDI,GESTION DES ETABLISSEMENTS DE RESTAURATION ET DANIMATION TOURISTIQUE GERAT,PERSON,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,9719,seed_only
SEEDE_ab729f504420f8d7,PERSON_SELAMI_ABDELAZIZ,CO_GESTION_PATRIMOINE_SIVO,ABDELAZIZ SELLAMI,GESTION DU PATRIMOINE SIVO,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9720,seed_only
SEEDE_af5c25564e7d9896,PERSON_SELAMI_HABIB,CO_GESTION_PATRIMOINE_SIVO,HABIB SELLAMI,GESTION DU PATRIMOINE SIVO,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,9721,seed_only
SEEDE_58d044cfbaa4140a,PERSON_FAKHFAKH_MOUTIAA,CO_GESTION_PATRIMOINE_SIVO,MOUTIAA FAKHFAKH,GESTION DU PATRIMOINE SIVO,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,9722,seed_only
SEEDE_1bfe69471af85aab,PERSON_KAMOUN_RIDHA,CO_GESTION_PATRIMOINE_SIVO,RIDHA KAMMOUN,GESTION DU PATRIMOINE SIVO,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,9723,seed_only
SEEDE_cf8a763fe59bbc24,PERSON_MEZGHANI_SAADIA,CO_GESTION_PATRIMOINE_SIVO,SAADIA MEZGHANI,GESTION DU PATRIMOINE SIVO,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,9724,seed_only
SEEDE_65b893eedfb9f1a2,PERSON_GANDILET_ANE,CO_GESTMAN,ANNE GANDILLET,GESTMAN,PERSON,COMPANY,GENERAL MANAGER,dg,corporate_officer,corporate,False,False,9725,seed_only
SEEDE_ab2a8fb306a32128,PERSON_PORETA_MARIO,CO_GESTMAN,MARIO PORRETTA,GESTMAN,PERSON,COMPANY,GENERAL MANAGER,dg,corporate_officer,corporate,False,False,9726,seed_only
SEEDE_bd3af8cb6b9182c0,PERSON_SELAMI_MOURAD,CO_GESTOP,MOURAD SELLAMI,GESTOP,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9727,seed_only
SEEDE_95c5e97e3517555c,PERSON_MHIRI_KHALED,CO_GETIT,KHALED MHIRI,GETIT,PERSON,COMPANY,GENERAL MANAGER,dg,corporate_officer,corporate,False,False,9728,seed_only
SEEDE_acd6b2f5684e6039,PERSON_BOURICHA_JALEL,CO_GEXA,JALEL BOURICHA,GEXA,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9729,seed_only
SEEDE_6d6ce73889ca65d3,PERSON_RAKE_CHRISTIAN,CO_GFA_CONSULTING_GROUP_GMBH,CHRISTIAN RAKE,GFA CONSULTING GROUP GMBH,PERSON,COMPANY,REPRESENTATIVE,representant,corporate_officer,corporate,False,False,9730,seed_only
SEEDE_5c05bb6cbc22d272,PERSON_MABROUK_SAMIA,CO_GGFASHION,SAMIA MABROUK,GGFASHION,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9731,seed_only
SEEDE_7c9fdcb195fff038,PERSON_GHACHEM_ZOHRA,CO_GHACHEM_TEKAYA_CONFECTION,ZOHRA GHACHEM,GHACHEM TEKAYA CONFECTION,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9732,seed_only
SEEDE_43e4fa612dccae37,PERSON_HAMAMI_YOUSRA,CO_GHADA_PRODUCTION,YOUSRA HAMMAMI,GHADA PRODUCTION,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9733,seed_only
SEEDE_86c477db42bafc56,PERSON_HAMZA_INJI,PERSON_ARGUI_GHALEB,INJI HAMZA,GHALEB ARGUI,PERSON,PERSON,SPOUSE,spouse_of,kinship,interpersonal,False,False,9734,seed_only
SEEDE_f30417dbcb115f86,PERSON_ESEBSI_AMEL_CAID,PERSON_ARGUI_GHALIA,AMEL CAID-ESSEBSI,GHALIA ARGUI,PERSON,PERSON,PARENT,parent_of,kinship,interpersonal,False,False,9735,seed_only
SEEDE_b5835084c0c4074b,PERSON_ARGUI_GHALEB,PERSON_ARGUI_GHALIA,GHALEB ARGUI,GHALIA ARGUI,PERSON,PERSON,PARENT,parent_of,kinship,interpersonal,False,False,9736,seed_only
SEEDE_243b77a8d80ff65b,PERSON_ELTAIEF_KAMEL,PERSON_ELTAIEF_GHALIA,KAMEL ELTAIEF,GHALIA ELTAIEF,PERSON,PERSON,PARENT,parent_of,kinship,interpersonal,False,False,9737,seed_only
SEEDE_6f796c9ae578e547,PERSON_NABLI_NADIA,PERSON_LETAIEF_GHALIA,NADIA NABLI,GHALIA LETAIEF,PERSON,PERSON,PARENT,parent_of,kinship,interpersonal,False,False,9738,seed_only
SEEDE_f58bdd8c9e338c39,PERSON_SANTAGADA_ANTONIO,CO_GHANNOUCH_MAINTENANCE,ANTONIO SANTAGADA,GHANNOUCH MAINTENANCE,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9739,seed_only
SEEDE_829c6af08401f5af,PERSON_PELOSO_CARLO,CO_GHANNOUCH_MAINTENANCE,CARLO PELOSO,GHANNOUCH MAINTENANCE,PERSON,COMPANY,FORMER MANAGER,gerant,corporate_officer,corporate,True,False,9740,seed_only
SEEDE_ab9e8358f4333aed,PERSON_ITALIANO_FRANCESCO,CO_GHANNOUCH_MAINTENANCE,FRANCESCO ITALIANO,GHANNOUCH MAINTENANCE,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9741,seed_only
SEEDE_34354daccc0c7045,PERSON_SQUADRONE_MARCO,CO_GHANNOUCH_MAINTENANCE,MARCO SQUADRONE,GHANNOUCH MAINTENANCE,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9742,seed_only
SEEDE_8f79017b268492a5,PERSON_BIANCHI_MARIO_ORFEO,CO_GHANNOUCH_MAINTENANCE,MARIO ORFEO BIANCHI,GHANNOUCH MAINTENANCE,PERSON,COMPANY,FORMER MANAGER,gerant,corporate_officer,corporate,True,False,9743,seed_only
SEEDE_95c40e0beed10c88,PERSON_GIANATI_STEFANO,CO_GHANNOUCH_MAINTENANCE,STEFANO GIANATTI,GHANNOUCH MAINTENANCE,PERSON,COMPANY,FORMER MANAGER,gerant,corporate_officer,corporate,True,False,9744,seed_only
SEEDE_0aa3bb853c22cf7a,PERSON_GHARBI_MOHAMED,CO_GHARBI_CUIR,MOHAMED GHARBI,GHARBI CUIR,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9745,seed_only
SEEDE_15dc5a6a8c77332a,PERSON_HAMAMI_ANOUAR_BENALI,CO_GHARBI_HAMMAMI_CONFECTION_SGHC,ANOUAR BEN-ALI HAMMAMI,GHARBI ET HAMMAMI DE CONFECTION SGHC,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9746,seed_only
SEEDE_ceffa43c646c737d,PERSON_GHARBI_SABRI,CO_GHARBIS_SCARPE,SABRI GHARBI,GHARBIS SCARPE,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9747,seed_only
SEEDE_24df4089482b016e,PERSON_SLAMA_FAOUZIA_KHALFALAH,PERSON_SLAMA_GHASEN,FAOUZIA KHALFALLAH SLAMA,GHASSEN SLAMA,PERSON,PERSON,SPOUSE,spouse_of,kinship,interpersonal,False,False,9748,seed_only
SEEDE_3086bb72cebee191,PERSON_BOUCHAMAOUI_THOURAYA,PERSON_BOUCHAMAOUI_GHAZI,THOURAYA BOUCHAMAOUI,GHAZI BOUCHAMAOUI,PERSON,PERSON,SIBLING,sibling_of,kinship,interpersonal,False,False,9749,seed_only
SEEDE_0b9dda3cdfd47a00,PERSON_BENAYED_HENDA,PERSON_BRADAI_GHAZI,HENDA BEN-AYED,GHAZI BRADAI,PERSON,PERSON,SPOUSE,spouse_of,kinship,interpersonal,False,False,9750,seed_only
SEEDE_f3306dfc5cbce9b6,PERSON_BENAYED_MAHMOUD,PERSON_BRADAI_GHAZI,MAHMOUD BEN-AYED,GHAZI BRADAI,PERSON,PERSON,PARENT,parent_of,kinship,interpersonal,False,False,9751,seed_only
SEEDE_7b0a41fdab260650,PERSON_TRABELSI_LEILA,PERSON_BENALI_GHAZOUA,LEILA TRABELSI,GHAZOUA BEN-ALI,PERSON,PERSON,PARENT,parent_of,kinship,interpersonal,False,False,9752,seed_only
SEEDE_5df4de0010b68cfa,PERSON_BENALI_NESRINE,PERSON_BENALI_GHAZOUA,NESRINE BEN-ALI,GHAZOUA BEN-ALI,PERSON,PERSON,SIBLING,sibling_of,kinship,interpersonal,False,False,9753,seed_only
SEEDE_77e6df6d4ba1b4ad,PERSON_BENALI_SIRINE,PERSON_BENALI_GHAZOUA,SIRINE BEN-ALI,GHAZOUA BEN-ALI,PERSON,PERSON,SIBLING,sibling_of,kinship,interpersonal,False,False,9754,seed_only
SEEDE_fb261a62fc477030,PERSON_ZAROUK_SLIM,PERSON_BENALI_GHAZOUA,SLIM ZARROUK,GHAZOUA BEN-ALI,PERSON,PERSON,SPOUSE,spouse_of,kinship,interpersonal,False,False,9755,seed_only
SEEDE_46953cc3c8812897,PERSON_BENALI_ZINE_ELABIDINE,PERSON_BENALI_GHAZOUA,ZINE EL-ABIDINE BEN-ALI,GHAZOUA BEN-ALI,PERSON,PERSON,PARENT,parent_of,kinship,interpersonal,False,False,9756,seed_only
