panel_id,granularity,period_start,period_end,from_node_id,to_node_id,role_canonical,layer,certainty,evidence_tier,spell_id
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_KILANI_KARIM,CO_AIRESOFT_INTEGRATION,cogerant,corporate,certain,gazette_dated,SP_817496cbe9f5b48493c5
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_MATERI_MERYEM,CO_UNIVERSAL_ARCHITECTURE,gerant,corporate,certain,gazette_dated,SP_b7f5a3846b65713bf10e
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HORCHANI_NAJIA,CO_SERVICE_NETTOYAGE_SOSEN,gerant,corporate,certain,gazette_dated,SP_4992e7d3b8e8c44164a0
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_YAICHE_NIZAR,CO_YTECHNOLOGY,gerant,corporate,certain,gazette_dated,SP_5ac20d19ebcb8e0bd05a
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SELAMI_MONCEF,CO_FUBA_PRINTED_CIRCUIT_TUNISIE,administrateur,corporate,probable,gazette_dated,SP_b4ce5a777e1683f6587a
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_BENAYED_MALEK,CO_Z_PRODUCTION,dga,corporate,possible,gazette_dated,SP_b173050acd125c09ae38
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HAMROUNI_NAIMA,CO_DASSAINISSEMENT_DENTRETIEN_SAHEL,gerant,corporate,certain,gazette_dated,SP_8d2ae52308e1c6520d78
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_CHAABANE_THAMEUR,CO_CHAABANE_COMMERCE_INTERNATIONAL,gerant,corporate,certain,gazette_dated,SP_c7d38ddc2d9e61e41539
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_CHAABANE_SAMI,CO_YARA_COMMERCE_INTERNATIONAL,gerant,corporate,certain,gazette_dated,SP_2a182452dfa1850bda0b
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HORCHANI_YOUSEF,CO_PRESSING_EL_HORCHANI,gerant,corporate,certain,gazette_dated,SP_34196e196b8f9c5b6e06
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_KAMOUN_HABIB,CO_SPID_TUNIS,dga,corporate,certain,gazette_dated,SP_1e48c02b715b52e420b9
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_TOUMI_MONCEF,CO_PROMETAL_PLUS,gerant,corporate,certain,gazette_dated,SP_0dc880a2092df2f8e943
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SELAMI_RAMI,CO_LINGERIE_FASHION,gerant,corporate,certain,gazette_dated,SP_2225b288f4fca472cc9b
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ZOUARI_ISMAIL,CO_ZOUARI_MENUISERIE_ALUMINIUM_SOZOMA,gerant,corporate,certain,gazette_dated,SP_51e0871ba3fd080e6a11
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SASI_RAMZI,CO_ROYAUME_ELEC,gerant,corporate,certain,gazette_dated,SP_88ccbe674200f3f76ed8
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HAMROUNI_ABDELKADER,CO_SICAF,commissaire_aux_comptes,corporate,certain,gazette_dated,SP_7a5c1d2842ac9b3100b3
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HAMROUNI_ABDELATIF,CO_SICAF,commissaire_aux_comptes,corporate,certain,gazette_dated,SP_a13f284d701e1e3de20e
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HAMROUNI_KHEIREDINE,CO_SICAF,commissaire_aux_comptes,corporate,certain,gazette_dated,SP_8811d0e3714a8e9f8f9b
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HAMROUNI_ABDELKADER,CO_SICAF,pdg,corporate,certain,gazette_dated,SP_5f8d19fd87ea002d07a6
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_BENYAGHLANE_MOHAMED,CO_ARTISANALE_MOBILIER_CONTEMPORAIN_SOAMCO,gerant,corporate,probable,gazette_dated,SP_58bfe58ce3c8c342da95
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_TRIKI_SAMIA_SELAMI,CO_MAHMOUD_AGRICOLE,gerant,corporate,certain,gazette_dated,SP_849bd9d4afe92e1e6417
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ZOUARI_MOHAMED,CO_ALLIANCE_DIFFUSION,gerant,corporate,certain,gazette_dated,SP_fbee0d1e4df12f613f0f
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SLAMA_NABIL,CO_3D_SOFT,cogerant,corporate,certain,gazette_dated,SP_55f1dda111a08fdebb59
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_BELMABROUK_ADEL,CO_MISE_EN_VALEUR_DEVELOPPEMENT_AGRICOLE,dg,corporate,possible,gazette_dated,SP_7d9a0a31ab50c809e025
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_BELMABROUK_RIDHA,CO_MISE_EN_VALEUR_DEVELOPPEMENT_AGRICOLE,dga,corporate,certain,gazette_dated,SP_709881ef2193e9928905
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_GHERAB_BELHASEN,CO_TUNISIENNE_INDUSTRIES_TEXTILE,gerant,corporate,probable,gazette_dated,SP_ecdfe89d5554b2dfe013
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_AREM_MAHMOUD,CO_FEERIE,gerant,corporate,certain,gazette_dated,SP_e2a7f9c1133b6503d709
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_TRIKI_MARIEM_DAMAK,CO_MARIEM_DAMAK_TRIKI_CIES_OPTIQUE,gerant,corporate,certain,gazette_dated,SP_c319aff3daecd627c8b8
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ROUIS_MOHAMED_ELARBI,CO_LEONI,administrateur,corporate,certain,gazette_dated,SP_d3ed239e2fa56e9d3727
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HAMAMI_HELA,CO_TRIANGLE_INTERNATIONAL_SERVICES_LINKS,gerant,corporate,certain,gazette_dated,SP_59bc5a9bf7b880b57c66
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ZOUARI_ABDELKARIM,CO_STELLA,gerant,corporate,certain,gazette_dated,SP_cc068a14ed86bee00f26
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_DRIS_MALEK,CO_VIRGOAPPS,gerant,corporate,certain,gazette_dated,SP_c691c73d03eeb5bf7aa6
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HACHICHA_MOHSEN,CO_INDUSTRIES_ALIMENTAIRES_RANDA,administrateur,corporate,probable,gazette_dated,SP_43a37bcb5a82211b27ed
