entity_id,entity_type,alias_raw,matching_key
F0aaa0f6736,firm,"Tunis International Bank, TIB",tunis international bank
F0aaa0f6736,firm,"Tunis International Bank, TIB*",tunis international bank
F0aaa0f6736,firm,Tunis International bank,tunis international bank
F0aaacb760c,firm,il était Responsable Crédit & Risque à BNPPARIBAS au Liban pendant 12 ans,il etait responsable credit risque a bnpparibas au liban pendant 12 ans
F0aab8adef8,firm,titres 29 999 8208,titres 29 999 8208
F0aace9f51b,firm,financier au sein de l’ATB,financier au sein de l atb
F0aae85d586,firm,MAGHREB LEASING ALGERIE,maghreb leasing algerie
F0aae85d586,firm,MAGHREB LEASING ALGERIE (*),maghreb leasing algerie
F0aae85d586,firm,MAGHREB LEASING ALGERIE (MLA),maghreb leasing algerie
F0aae85d586,firm,Maghreb Leasing Algérie,maghreb leasing algerie
F0aae85d586,firm,Maghreb Leasing Algérie (MLA),maghreb leasing algerie
F0ab6523074,firm,Quantité,quantite
F0ac5664ea1,firm,GFCO,gfco
F0ac7fa6488,firm,Nommé,nomme
F0ad4fe03a2,firm,STE L'ECRIN DE HAMMAMET,l ecrin de hammamet
F0afb0c57ba,firm,TOURISTIQUE BISAT SA,touristique bisat
F0b2f4d9e14,firm,JNAYNET MANAR,jnaynet manar
F0b34c31822,firm,STE MEGDICH PHARMA,megdich pharma
F0b4194123c,firm,PDG de la société CAPILOC,pdg de la capiloc
F0b65fa743a,firm,AMEN SYSTEME,amen systeme
F0b7eed86af,firm,Clinique de la,clinique de la
F0b88a9725f,firm,La revue de la feuille-de route de conformité du dispositif de,la revue de la feuille de route de conformite du dispositif de
F0b8b683ad6,firm,Majdi ZARKOUNA,majdi zarkouna
F0b932382fe,firm,Magasin Général INVEST,magasin general invest
F0b954af705,firm,ZEINEB GUELLOUZ (membre indépendant du conseil de surveillance),zeineb guellouz membre independant du conseil de surveillance
F0b976b615f,firm,en qualité de Président du Conseil lors du CA du 27/04/2021,en qualite de president du conseil lors du ca du 27 04 2021
F0b98099119,firm,Extrait des Statuts de la,extrait des statuts de la
F0bb20753ad,firm,M. Habib KARAOULI,habib karaouli
F0bb998d045,firm,Attijari Recouvrement,attijari recouvrement
F0bb998d045,firm,Attijari recouvrement,attijari recouvrement
F0bdf5efc91,firm,Consultante en audit,consultante en audit
F0c04b8be2e,firm,SOTIPAPIER Il,sotipapier il
F0c0a2af0f4,firm,SANIMED,sanimed
F0c2c745e45,firm,Holged Tunisie,holged tunisie
F0c4d3f4cc8,firm,(Er,er
F0c4e139f18,firm,et pour les plaques de 183%. La progression importante du,et pour les plaques de 183 la progression importante du
F0c53e71ecd,firm,"d’Administration, suite à un décès, une",d administration suite a un deces une
F0c68406811,firm,MAXULA INVESTISSEMENT SICAV,maxula investissement sicav
F0c9129955e,firm,"Les comités doivent, à ce titre",les comites doivent a ce titre
F0ca17590d0,firm,ATTIA,attia
F0ca2047bd6,firm,STE MEDAPLAST,medaplast
F0ca3c56922,firm,DATA BOX,data box
F0cb0a91ae7,firm,CFI,cfi
F0ccb397354,firm,STE ALIMENTA,alimenta
F0cda3500f9,firm,Mutuelle Assurances de l'Enseignement,mutuelle assurances de l enseignement
F0cda3500f9,firm,Mutuelle Assurances de l'Enseignement*,mutuelle assurances de l enseignement
F0d0e54f319,firm,Plastic Tunisie,plastic tunisie
F0d0e54f319,firm,Plastic Tunisie SA,plastic tunisie
F0d0f5ae790,firm,L L'activité touristique en Tunisie,l l activite touristique en tunisie
F0d14cbaa1c,firm,Mutuelle d'Assurance de l'Enseignement,mutuelle d assurance de l enseignement
F0d4774e667,firm,M.B.Z. KPMG TUNISIE 2009-2011,mbz kpmg tunisie 2009 2011
F0d781e1cdf,firm,vulnérabilités (Qualys) qui permet l’analyse,vulnerabilites qualys qui permet l analyse
F0d82627530,firm,C.S.A,csa
F0d86908408,firm,BANQUE CENTRALE DE TUNISIE Membre M. AHMED TARCHI 2010-2012 Tunis,banque centrale de tunisie membre ahmed tarchi 2010 2012 tunis
F0d920ff341,firm,Bouguila),bouguila
F0d9fee3f28,firm,bonne gouvernance dans les Etablissements de Crédit,bonne gouvernance dans les etablissements de credit
F0da55a0f60,firm,Ministère de Dévéloppement et de la,ministere de developpement et de la
F0dd08babb5,firm,"R:lJic zlart au rmxim:rn 0,5 %",r ljic zlart au rmxim rn 0 5
F0de10d2a2a,firm,Réserves légales,reserves legales
F0e0d0cc0c5,firm,Haykel DEBBABI : associé et gérant à la société « CIR »,haykel debbabi associe et gerant a la cir
F0e19fc632f,firm,COMAPRIM - Sté Tunisienne de Tréfilage – S.H.I.T,comaprim tunisienne de trefilage shit
F0e1c2efb7f,firm,PGI HOLDING,pgi holding
F0e1c2efb7f,firm,STE P.G.I HOLDING,pgi holding
F0e1c2efb7f,firm,STE PGI HOLDING,pgi holding
F0e1c2efb7f,firm,Société PGI Holding,pgi holding
F0e397f95fc,firm,TUNINVEST INNOVATION SICAR,tuninvest innovation sicar
F0e397f95fc,firm,TUNINVEST INNOVATION SICAR4,tuninvest innovation sicar
F0e397f95fc,firm,Tuninvest Innovation SICAR,tuninvest innovation sicar
F0e6e83438c,firm,BUAT,buat
F0e7d0fe3f8,firm,BEN YOUNES Hacttemi,ben younes hacttemi
F0e84f43b63,firm,Taux de couverture des actifs classés,taux de couverture des actifs classes
F0e94d452df,firm,Société HORWATH ACF : membre de Crowe,horwath acf membre de crowe
F0e9834c6e5,firm,FOIR.INTER GABES,foir inter gabes
F0eb1893629,firm,V.C.1- Rôle du conseil,vc1 role du conseil
F0eb6c2c7a4,firm,fondamentale du Comité est de Veiller à la mise,fondamentale du comite est de veiller a la mise
F0eb6c2c7a4,firm,fondamentale du Comité est de veiller à la mise,fondamentale du comite est de veiller a la mise
F0ec916d88e,firm,"CAPBANK( Ex: BANQUE D'AFFAIRES DE TUNISIE ""BAT"")",capbank ex banque d affaires de tunisie bat
F0ede6fbfcd,firm,S.T.I.M.E.C,stime c
F0ee0f5a723,firm,Tunisien Assad,tunisien assad
F0ee4bb564f,firm,Sociétés Commerciales le mandat d'Administrateur de Messieurs,societes commerciales le mandat d administrateur de messieurs
