entity_id,canonical_name,gender,basis,n_female_titles,n_male_titles,n_untitled_rows
P4aeffb0f95,Ammar Tlili Membre mandaté par la BNA Lui même 2009‐2011 Tunis,M,1 male honorific,0,1,0
P9f9d79833f,Anas Abdennadher,M,2 male honorifics,0,2,0
P5a7c0f69d6,Anas Ben MALEK,M,3 male honorifics,0,3,0
P0d3c22c3c3,Anas Ben Malek Membre 2019,M,1 male honorific,0,1,0
P3a8ba00d65,André CHAFFRINGEON,M,2 male honorifics,0,2,0
P9daa499f0f,Anis ALLOUCHE,M,1 male honorific,0,1,0
P7752509748,Anis Fourati,M,1 male honorific,0,1,0
Pc97e6955fd,Atef KHEMIRI,M,2 male honorifics,0,2,0
Pd867580f94,Atef MAJDOUB,M,2 male honorifics,0,2,0
P2ebd76c766,Ather CHAABANE,M,1 male honorific,0,1,1
P584d87d6f4,Aymen Raies,M,3 male honorifics,0,3,0
P334066132f,Aziz MEBAREK,M,3 male honorifics,0,3,0
P1d23af762d,BEN HAMOUDATaoufik,M,1 male honorific,0,1,0
P313860e77b,Badreddine CHAHED,M,1 male honorific,0,1,0
Peb04b4c8a9,Basem Ali TANTUSH,M,2 male honorifics,0,2,0
Pe7b3abf63a,Basem Ali Tentush,M,1 male honorific,0,1,0
Pbe21a1f684,Bassem JEDDA : Gérant d’une société,M,1 male honorific,0,1,0
Pf157e15fe2,Bassem LOUKIL,M,5 male honorifics,0,5,0
Pd7a64d3b86,Bassem LOUKIL Lui-Même Président 2008-2011* Tunis,M,1 male honorific,0,1,0
P4c0bcecf45,Belhassen Jerbi,M,1 male honorific,0,1,0
Pa9e2da1b6b,Bernard DAVID,M,5 male honorifics,0,5,1
Pa97531d681,Boubaker MEHRI,M,3 male honorifics,0,3,0
P307105f7e6,Brahim ANENE,M,2 male honorifics,0,2,1
P60701eb938,Brahim Anane,M,15 male honorifics,0,15,3
P2a0fad7612,Brahim Hajji,M,6 male honorifics,0,6,0
Pde2c2b574d,Brahim RIAHI,M,3 male honorifics,0,3,0
P727fb99b6e,Brahim SANAA,M,3 male honorifics,0,3,0
