entity_id,canonical_name,year,pc_state_ownership,pc_state_board,pc_officeholder,pc_public_bank,pc_political_figure,pc_officeholder_former,pc_public_bank_equity,max_state_stake_pct,pc_narrow,pc_broad,n_evidence,n_evidence_ocr,categories
F2e9c2e7d99,Consignations,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F23211662e7,Consignations - DG de la CDC Gestion,2017,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F23211662e7,Consignations - DG de la CDC Gestion,2018,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F1317a5fc0c,Contribution aux travaux du Conseil,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F6fa987c429,Créé par le Conseil,2016,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F78ed3467a0,D'ADMISSION,1990,0,1,1,0,0,0,0,,1,1,3,0,ministry_organ|state_organ_seat
F78ed3467a0,D'ADMISSION,1991,0,0,1,0,0,0,0,,1,1,1,0,ministry_organ
F4ff651ad76,DGA de la Caisse des Dépôts,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F4ff651ad76,DGA de la Caisse des Dépôts,2017,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F4ff651ad76,DGA de la Caisse des Dépôts,2018,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F65d5c39b58,DIVA SICAR,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fd4ed8d9e06,"DRAHAM ""Col des Ruines""",2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fce856fbce3,De même et en complément du noyau du nouveau,2017,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F33cc371a1f,ED-DKHILA,2009,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F33cc371a1f,ED-DKHILA,2018,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fe7bf042e96,EL MADINA,2008,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fa6e7b6b51e,ELLOUHOUM,2008,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F3cb8089cff,ESSOUKNA,2022,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
Ff9d724d949,El Wifack Leasing,2012,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fe13e5061a0,En ce qui concerne les membres indépendants et le,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F4a63e38474,"En conclusion, La STB est bien positionnée aujourd'hui",2017,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F6b0de7603a,Enseignant à l’école Nationale d’Administration de Tunis,2021,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Fe6bcb7b1a5,Epargne Invest SICAF,2011,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fe6bcb7b1a5,Epargne Invest SICAF,2014,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F1b32a5ee1c,Ex membre du Conseil d’Administration de la banque ZITOUNA,2021,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F2c329559e8,Ex-Président du Comité des risques,2021,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F248fbaf00b,Ex-Président du Comité des risques -Ex membre du Conseil d’Administration de la banque QNB,2021,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
