mention_key,person_mention,org_mention,org_mf,resolved_person_id,resolved_person_label,resolved_org_id,resolved_org_label,score,link_status,s_name,s_org,s_mf,s_cooccur,s_role,n_candidates,margin_to_runner_up,runner_up_person_id,n_events,first_event_date,last_event_date,seed_degree,name_ambiguity,mention_cluster_id,evidence_quote
Yahia Bayahi||RC : B 143391996,Yahia Bayahi,RC : B 143391996,462927J,PERSON_BAYAHI_YAHIA,YAHIA BAYAHI,,,0.475,ambiguous,1.0,0.0,0.0,0.5,1.0,2,0.285,PERSON_BAYAHI_YOUSEF,1,2010-06-17,2010-06-17,71,1,PERSON_BAYAHI_YAHIA,1 - Renouvellement du mandat du président du conseil d'administration Monsieur Yahia Bayahi pour une période de trois ans qui prendra fin à la tenue de l'assemblée générale ordinaire statuant sur l'ex
Yahia Bayahi Président Directeur Général||ALUFOND,Yahia Bayahi Président Directeur Général,ALUFOND,,PERSON_BAYAHI_YAHIA,YAHIA BAYAHI,CO_ALUFOND,ALUFOND,0.6975,ambiguous,0.85,1.0,0.0,0.0,1.0,3,0.6475,PERSON_BAYAHI_TAHER,1,2010-02-01,2010-02-01,71,1,PERSON_GENERAL_YAHIA_BAYAHI_PRESIDENT_DIRECTEUR,"Selon procès verbal en date du 5 Mars 2010, enregistré à la recette de l'enregistrement des actes de sociétés de 1er bureau - Tunis le 9 Mars 2010, enregistrement 10802603, quittance n° 3403, le conse"
Sleheddine Ezzahaf||Société Tunisienne de Fabrication de la Peinture SOTUFAP,Sleheddine Ezzahaf,Société Tunisienne de Fabrication de la Peinture SOTUFAP,,PERSON_ZAHAF_SLAHEDINE,SLAHEDDINE ZAHAF,CO_TUNISIENNE_FABRICATION_PEINTURE_SOTUFAP,SOCIETE TUNISIENNE DE FABRICATION DE PEINTURE SOTUFAP,0.6682,ambiguous,0.909,1.0,0.0,0.0,0.0,2,0.6682,PERSON_GARGOURI_MOHAMED,1,2007-12-10,2007-12-10,64,1,PERSON_EZAHAF_SLEHEDINE,"Il appert du P.V de l'assemblée générale ordinaire daté du 10 décembre 2007, enregistré à la recette des finances Chihia le 25 décembre 2007 sous le n° 07700650, quittance n° M021730, dont deux exempl"
Mohamed Marwan Mabrouk||Maghreb Participation Holding,Mohamed Marwan Mabrouk,Maghreb Participation Holding,,PERSON_MABROUK_MOHAMED_MARWEN,MOHAMED MARWEN MABROUK,CO_MAGHREB_PARTICIPATION_HOLDING,MAGHREB PARTICIPATION HOLDING,0.645,ambiguous,0.7,1.0,0.0,0.0,1.0,40,0.295,PERSON_MABROUK_MOHAMED,1,2007-12-10,2007-12-10,63,1,PERSON_MABROUK_MOHAMED_MARWAN,"Selon procès-verbal en date du 10 décembre 2007, enregistré à Tunis recette de l'enregistrement des actes de sociétés premier bureau le 13 décembre 2007 sous le n° 7812126, quittance n° 14407, le cons"
Riadh Jaidane Mlle Yosr Messadi||Société Jbel OUEST BETON SA,Riadh Jaidane Mlle Yosr Messadi,Société Jbel OUEST BETON SA,,PERSON_JAIDANE_RIADH,RIADH JAIDANE,CO_JBEL_OUEST_BETON,JBEL OUEST BETON,0.6975,ambiguous,0.85,1.0,0.0,0.0,1.0,1,0.6975,,1,2010-08-24,2010-08-24,55,1,PERSON_MESADI_RIADH_JAIDANE_YOSR,"Madame Salima Atallah née Cherif; Monsieur Ghazi Atallah ,Madame Faiza Ben Dhiaf épouse Hechmi; La société ATD SICAR représentée par son DG Seif Eddine Bijaoui; Monsieur Riadh Jaidane Mlle Yosr Messad"
Mohamed Frikha Directeur Général Adjoint||Société Maxula Distribution SA,Mohamed Frikha Directeur Général Adjoint,Société Maxula Distribution SA,,PERSON_FRIKHA_MOHAMED,MOHAMED FRIKHA,CO_MAXULA_DISTRIBUTION,MAXULA DISTRIBUTION,0.6975,ambiguous,0.85,1.0,0.0,0.0,1.0,1,0.6975,,1,2012-08-31,2012-08-31,51,1,PERSON_ADJOINT_MOHAMED_FRIKHA_DIRECTEUR_GENERAL,Suivant PV du conseil d'administration tenu le 21 août 2012 et enregistré à la REAS le 31 août 2012 Enregistrement n° 12807869 Quittance n° 9536 dont deux copies ont été déposées auprès du tribunal de
Mzoughi Mzabi||Nomination d'un président directeur général,Mzoughi Mzabi,Nomination d'un président directeur général,341485G,PERSON_MZABI_MZOUGHI,MZOUGHI MZABI,CO_GENERALE,SOCIETE GENERALE,0.5,ambiguous,1.0,0.0,1.0,0.0,1.0,13,0.31,PERSON_MZABI_MONCEF,1,2006-05-30,2006-05-30,51,1,PERSON_MZABI_MZOUGHI,"Suivant le procès-verbal du conseil d'administration de la Société Gibraltar - SA, réuni en date du 30 mai 2006, enregistré à la recette des actes de sociétés, 1er bureau, le 18 janvier 2008, sous la "
Ghassen SLAMA||Agrément d'un acte de cession des parts sociales et acceptation des nouveaux associés,Ghassen SLAMA,Agrément d'un acte de cession des parts sociales et acceptation des nouveaux associés,1011480Y,PERSON_SLAMA_GHASEN,GHASSEN SLAMA,,,0.5,ambiguous,1.0,0.0,0.0,1.0,0.0,2,0.36,PERSON_SLAMA_GHAZI,2,2009-05-02,2009-05-02,45,1,PERSON_SLAMA_GHASEN,"1- Par procès-verbal de l'Assemblée Générale Extraordinaire en date du 2 mai 2009, enregistré à la Recette de l'Enregistrement des Actes de Sociétés 1er Bureau en date du 10 juin 2009 quittance n° 753"
Ghassen Slama||Générale Industrielle Alimentaire SLAMA,Ghassen Slama,Générale Industrielle Alimentaire SLAMA,31448B,PERSON_SLAMA_GHASEN,GHASSEN SLAMA,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,GENERALE INDUSTRIELLE ALIMENTAIRE SLAMA GIAS,0.6,ambiguous,1.0,0.0,1.0,1.0,0.0,5,0.31,PERSON_SLAMA_FAOUZIA_KHALFALAH,2,2007-12-17,2007-12-17,45,1,PERSON_SLAMA_GHASEN,"- La nomination de Monsieur Ali Slama, Madame Faouzia Slama, Monsieur Ghassen Slama, Mr Chihebeddine Slama et la société A.T.D SICAR en qualité d'administrateurs pour les exercices 2007, 2008 et 2009."
Hichem Driss||Délibérations de l'assemblée générale ordinaire et extraordinaire,Hichem Driss,Délibérations de l'assemblée générale ordinaire et extraordinaire,,PERSON_DRIS_HICHEM,HICHEM DRISS,CO_GENERALE,SOCIETE GENERALE,0.475,ambiguous,1.0,0.0,0.0,0.5,1.0,14,0.125,PERSON_DRIS_HICHEM_BENMHAMED,1,2011-06-17,2011-06-17,50,1,PERSON_DRIS_HICHEM,5) Nomination de Monsieur Hichem Driss en qualité d'Administrateur pour la période restante du mandat du feu Abdelhamid Douik soit jusqu'à l'issu de l'Assemblée Générale Ordinaire qui statuera sur l'e
Hichem Driss||Société de Stockage des Produits Pétroliers,Hichem Driss,Société de Stockage des Produits Pétroliers,,PERSON_DRIS_HICHEM,HICHEM DRISS,,,0.475,ambiguous,1.0,0.0,0.0,0.5,1.0,13,0.075,PERSON_DRIS_HICHEM_BENMHAMED,1,2007-08-21,2007-08-21,50,1,PERSON_DRIS_HICHEM,- Monsieur Hichem Driss en tant que président du conseil et président directeur général de la société «Tunisie Petrolium».
