vertex.id,node_id,label,node_type
11866,ORGMENTION_Réorganisation de la gérance,Réorganisation de la gérance,ORG
11867,PERSON_AJLANI_HABIBA,HABIBA AJLANI,PERSON
11868,CO_ATLAS_MOTORS,ATLAS MOTORS,ORG
11869,CO_CHIMIE_PRO,CHIMIE PRO,ORG
11870,PERSON_BENZAKOUR_ZOHRA,ZOHRA BEN-ZAKOUR,PERSON
11871,PERSON_MANSOUR_FATMA_ASMA,FATMA ASMA MANSOUR,PERSON
11872,PERSON_HAMIDA_HELA_BRIGUI,HELA BRIGUI HAMIDA,PERSON
11873,PERSON_FERCHICHI_ILHEM_BENSMIDA,ILHEM BEN-SMIDA FERCHICHI,PERSON
11874,CO_ZINET_EL_GHALLA,ZINET EL-GHALLA,ORG
11875,CO_FLORENCE_SOFA,FLORENCE SOFA,ORG
11876,PERSON_SELAMI_AMIR,AMIR SELLAMI,PERSON
11877,CO_AMIR_COMMERCE,SOCIETE AMIR DE COMMERCE,ORG
11878,PERSON_HAMROUNI_CHAIBI,CHAIBI HAMROUNI,PERSON
11879,CO_GHOFRAN_METAUX,GHOFRAN METAUX,ORG
11880,PERSON_WENHUI_TIAN,TIAN WENHUI,PERSON
11881,PERSON_HAJI_MOKHTAR,MOKHTAR HAJJI,PERSON
11882,CO_ESSYAHA,ESSYAHA,ORG
11883,PERSON_IDOUDI_MOHAMED,MOHAMED IDOUDI,PERSON
11884,PERSON_PIERON_ALAIN,ALAIN PIERRON,PERSON
11885,ORGMENTION_SOCIETE XPRESS CELL,SOCIETE XPRESS CELL,ORG
11886,CO_MODERNE_TEXTILE,SOCIETE MODERNE DE TEXTILE,ORG
11887,PERSON_ELILI_THOURAYA,THOURAYA ELLILI,PERSON
11888,CO_ULYSSE_MODE,ULYSSE MODE,ORG
11889,PERSON_SANAA_MOURAD,MOURAD SANAA,PERSON
11890,PERSON_BENABDESAMAD_SOFIANE,SOFIANE BEN-ABDESSAMAD,PERSON
11891,PERSON_KAMOUN_WISEM,WISSEM KAMMOUN,PERSON
11892,CO_TUNISIE_PORTE_A_PORTE,TUNISIE PORTE A PORTE,ORG
11893,PERSON_SELAMI_HATEM,HATEM SELLAMI,PERSON
11894,CO_AGROVET,AGROVET,ORG
11895,PERSON_RHOUMA_NIZAR,NIZAR RHOUMA,PERSON
11896,PERSON_SLAMA_MOUNIRA,MOUNIRA SLAMA,PERSON
11897,CO_ATTAOUFIK_DENSEIGNEMENT_PRIVE,SOCIETE ATTAOUFIK DENSEIGNEMENT PRIVE,ORG
11898,PERSON_BENMABROUK_AHMED,AHMED BEN-MABROUK,PERSON
