id_type,value_normalised,rne_name_fr,rne_name_ar,rne_category,rne_year_creation,seed_org_id,seed_org_label,match_basis,match_score,is_identity,n_jort_orgs
matricule_fiscal,1580622K,BRACIEF,براسياف,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580634P,SOCIETE TEJ TUNISIE,شركة تاج تونس للتجارة,SOCIETE,2018,,,generic_fuzzy,0.9091,0,1
matricule_fiscal,1580640M,STE HUG THE MUG,شركة هاك ذو ماق,SOCIETE,2019,,,none,0.0,0,1
matricule_fiscal,1580643Q,STE Y . S TRAD COMPANY,شركة ي .س تراد كومبني,SOCIETE,2018,,,generic_fuzzy,0.8235,0,1
matricule_fiscal,1580646T,ste BEN JEMAA ET EILS CAROSERIE AUTO,شركة بن جماعة و ابنائه لهياكل السيارات,SOCIETE,2018,,,discriminating_fuzzy,0.6923,0,1
matricule_fiscal,1580654T,,شركة الجيداء للتجارة,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580662T,WALID CONFECTION,شركة وليد للخياطة,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580666Y,,STE E-TALENT,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580667Z,,شركة هوم ديكو مساكن,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580685B,STE OASIS PLUS DE COMMERCE ET DISTRIBUTION,الواحة بليس للتجارة و التوزيع,SOCIETE,2018,,,generic_fuzzy,0.8889,0,1
matricule_fiscal,1580686C,KALYS  INTERNATIONAL  SARL,كاليس انترناسيونال  ش ذ م م,SOCIETE,2018,,,generic_fuzzy,0.9189,0,1
matricule_fiscal,1580689F,STE UNIVERS MANAGEMENT,شركة عالم الادارة,SOCIETE,2018,,,generic_fuzzy,0.8333,0,1
matricule_fiscal,1580701H,STE MARSA BAY,شركة مرسى باي,SOCIETE,2018,,,discriminating_fuzzy,0.7143,0,1
matricule_fiscal,1580704L,STE AFRICA MOTORS,شركة أفريكا موتورز,SOCIETE,2018,,,generic_fuzzy,0.7692,0,1
matricule_fiscal,1580710J,,STE DE DECORATION DU VERRE ET MIROIR,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580714N,SATISFACTORY SOLUTION,الحل المرضي,SOCIETE,2018,,,generic_fuzzy,0.8889,0,1
matricule_fiscal,1580715P,SOCIET NATURALIS,شركة ناتوراليس,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580719T,STE AFRIKA PLAST,شركة افريك بلاست,SOCIETE,2018,CO_AFRIKA_PLAST,AFRIKA PLAST,exact,1.0,1,1
matricule_fiscal,1580723P,STE MOBELAND,شركة موبولاند,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580724Q,GOLIAS TRADING,قولياس ترايدينغ,SOCIETE,2018,,,generic_fuzzy,0.8235,0,1
matricule_fiscal,1580726S,JNINA JUNIOR & KIDS,جنينة جنيور & كيدز,SOCIETE,2018,CO_JUNIOR,JUNIOR,discriminating_fuzzy,1.0,1,1
matricule_fiscal,1580734S,STE AKRAM DE COMMERCE,شركة اكرم للتجارة,SOCIETE,2018,,,generic_fuzzy,0.8148,0,1
matricule_fiscal,1580745W,STE PRAF AUTOS,شركة قطع غيار امين و فراس للسيارات,SOCIETE,2018,,,generic_fuzzy,0.7368,0,1
matricule_fiscal,1580748Z,SOCIETE CAP BON SERVICES TUNISIE,شركة الوطن القبلي للخدمات تونس,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
