suspect_id,kind,left_id,left_label,right_id,right_label,basis,detail,would_connect_persons
SH_0000087,split_organisation,CO_ALTERNATIVE_CAPITAL_PARTNERS,ALTERNATIVE CAPITAL PARTNERS,ORG_COEXISTENCE_WITH_ALTERNATIVE_LANGUAGE_AND_ACTIONS_MOVEMENT,COEXISTENCE WITH ALTERNATIVE LANGUAGE AND ACTIONS MOVEMENT,shared_matricule_fiscal,matricule_fiscal=998327P on both nodes,0
SH_0000088,split_organisation,CO_ALUFOND,ALUFOND,ORGE_93eb08dc419f4d5fe7db,ORGE_93eb08dc419f4d5fe7db,shared_matricule_fiscal,matricule_fiscal=15063T on both nodes,0
SH_0000089,split_organisation,CO_ALUMINIUM_CHARPENTE_METALLIQUE_SACM,SOCIETE ALUMINIUM ET CHARPENTE METALLIQUE SACM,CO_ERROUFAKAA,CO_ERROUFAKAA,shared_registre_commerce,registre_commerce=B0127042010 on both nodes,0
SH_0000090,split_organisation,CO_AL_AKHILA,AL AKHILA,CO_CHAABANE_FRERES,SOCIETE CHAABANE FRERES,shared_matricule_fiscal,matricule_fiscal=1262753Z on both nodes,0
SH_0000091,split_organisation,CO_AL_AKHILA,AL AKHILA,CO_CHAABANE_FRERES,SOCIETE CHAABANE FRERES,shared_registre_commerce,registre_commerce=B24162362012 on both nodes,0
SH_0000092,split_organisation,CO_AL_BARAKA_BANK,AL BARAKA BANK,CO_AL_BARAKA_BANK_TUNISIA,AL BARAKA BANK TUNISIA,shared_matricule_fiscal,matricule_fiscal=31041F on both nodes,0
SH_0000093,split_organisation,CO_AL_BARAKA_BANK,AL BARAKA BANK,CO_AL_BARAKA_BANK_TUNISIA,AL BARAKA BANK TUNISIA,shared_registre_commerce,registre_commerce=B137451996 on both nodes,0
SH_0000094,split_organisation,CO_AL_HASSIB,AL HASSIB,CO_COMPTABILITE_FISCALITE_TRAITEMENT_LINFORMATION_CFTI,COMPTABILITE FISCALITE ET TRAITEMENT DE LINFORMATION CFTI,shared_matricule_fiscal,matricule_fiscal=601784N on both nodes,0
SH_0000095,split_organisation,CO_AL_IMAAR_WAS_SIYANA,AL IMAAR WAS SIYANA,CO_SUBURBS_IMMOBILIERE,SUBURBS IMMOBILIERE,shared_matricule_fiscal,matricule_fiscal=806895E on both nodes,0
SH_0000096,split_organisation,CO_AL_MAJD,AL MAJD,CO_EL_MAJD,SOCIETE EL-MAJD,shared_matricule_fiscal,matricule_fiscal=853401G on both nodes,0
SH_0000097,split_organisation,CO_AL_MAJD,AL MAJD,CO_EL_MAJD,SOCIETE EL-MAJD,shared_registre_commerce,registre_commerce=B151422003 on both nodes,0
SH_0000098,split_organisation,CO_AL_MAZAR,AL MAZAR,CO_AL_MAZAR_PROMOTION_IMMOBILIERE,AL MAZAR DE PROMOTION IMMOBILIERE,shared_matricule_fiscal,matricule_fiscal=1254037E on both nodes,0
SH_0000099,split_organisation,CO_AL_QUALAM_PROD,AL QUALAM PROD,ORGE_ac80aab55551a51dec7b,ORGE_ac80aab55551a51dec7b,shared_registre_commerce,registre_commerce=B259412012 on both nodes,0
SH_0000100,split_organisation,CO_AMADEUS,AMADEUS,CO_AMADEUS_TUNISIE,AMADEUS TUNISIE,shared_matricule_fiscal,matricule_fiscal=645326D on both nodes,0
SH_0000101,split_organisation,CO_AMANA,AMANA,ORGE_f43844a795be43c71eb8,ORGE_f43844a795be43c71eb8,shared_registre_commerce,registre_commerce=B25159362012 on both nodes,0
SH_0000102,split_organisation,CO_AMANI,SOCIETE AMANI,ORGE_3840d903de809e312c89,ORGE_3840d903de809e312c89,shared_registre_commerce,registre_commerce=B1155671997 on both nodes,0
SH_0000103,split_organisation,CO_AMARA_COMMERCE_INVESTISSEMENT,AMARA COMMERCE ET INVESTISSEMENT,CO_AMARA_COMMERCE_INVESTISSEMENT_AMARECO,AMARA DE COMMERCE ET INVESTISSEMENT AMARECO,shared_matricule_fiscal,matricule_fiscal=1477115N on both nodes,0
