period,tail,head,role_canonical,certainty,link_status,dissolution_observed
2008,614,3947,president_ca,certain,resolved,0
2008,614,4845,president_ca,certain,resolved,0
2008,624,3515,gerant,certain,resolved,0
2008,626,4387,gerant,certain,resolved,0
2008,629,4235,gerant,certain,ambiguous,0
2008,630,2900,gerant,probable,resolved,1
2008,630,2955,gerant,certain,resolved,0
2008,637,3140,pdg,certain,resolved,0
2008,644,5154,gerant,certain,resolved,0
2008,655,5082,gerant,probable,resolved,1
2008,656,2888,gerant,certain,ambiguous,1
2008,659,5004,gerant,certain,resolved,0
2008,667,3267,cogerant,certain,ambiguous,0
2008,669,3107,gerant,certain,resolved,0
2008,670,3522,cogerant,certain,resolved,0
2008,675,3477,gerant,certain,resolved,0
2008,676,3048,unspecified,certain,ambiguous,0
2008,678,4021,gerant,certain,resolved,0
2008,684,3052,gerant,certain,resolved,0
2008,685,3736,gerant,certain,resolved,0
2008,687,4917,gerant,certain,resolved,0
2008,689,2975,gerant,certain,resolved,0
2008,690,3466,gerant,probable,resolved,0
2008,690,3839,cogerant,certain,resolved,0
2008,690,5017,gerant,certain,resolved,0
2008,695,4433,unspecified,certain,resolved,0
2008,697,3522,cogerant,certain,resolved,0
2008,702,2787,gerant,probable,ambiguous,1
2008,704,3689,cogerant,certain,resolved,0
2008,708,3048,pdg|unspecified,certain,resolved,0
2008,711,4844,gerant,certain,resolved,0
2008,712,4667,gerant,certain,resolved,0
2008,714,4887,gerant,certain,resolved,0
2008,715,2787,gerant,probable,resolved,1
2008,721,4767,gerant|pdg,certain,resolved,0
2008,723,3440,gerant,certain,resolved,0
2008,724,4101,dga,certain,resolved,0
2008,728,3048,commissaire_aux_comptes,certain,ambiguous,0
2008,728,3312,commissaire_aux_comptes,certain,resolved,0
2008,731,3908,gerant,certain,resolved,0
2008,733,3846,dga,certain,resolved,0
2008,733,4255,gerant,certain,ambiguous,0
2008,743,3458,dg,certain,resolved,1
2008,747,4684,dga,probable,resolved,0
2008,751,3913,gerant,certain,resolved,0
2008,754,2916,president_ca,certain,resolved,0
2008,756,4034,gerant,certain,resolved,0
2008,757,4868,gerant,certain,resolved,0
2008,772,3177,gerant,certain,ambiguous,1
2008,774,4309,dg,certain,ambiguous,0
2008,781,4567,administrateur,probable,ambiguous,0
2008,784,3618,administrateur,possible,ambiguous,1
2008,795,3085,dga,certain,ambiguous,0
2008,800,4118,gerant,possible,ambiguous,1
2008,806,4847,commissaire_aux_comptes,probable,resolved,0
2008,817,3685,gerant,probable,resolved,1
2008,826,3990,administrateur,certain,resolved,0
2008,834,2956,gerant,certain,resolved,0
2008,839,2793,association_president,certain,ambiguous,0
2008,845,4797,president_ca,certain,resolved,0
2008,854,4197,pdg,certain,resolved,0
2008,855,3159,commissaire_aux_comptes,probable,resolved,0
2008,855,3903,commissaire_aux_comptes,certain,ambiguous,0
2008,855,4161,commissaire_aux_comptes,probable,resolved,0
2008,855,4264,representant,probable,ambiguous,0
2008,856,3706,gerant,certain,resolved,1
2008,856,4100,gerant,certain,resolved,0
2008,865,3554,gerant,probable,resolved,0
2008,869,3220,pdg,probable,resolved,0
2008,869,5409,dga|pdg,certain,ambiguous,1
2008,870,3179,dga|member,certain,resolved,0
2008,870,3220,administrateur|dga,certain,resolved,0
2008,870,3531,administrateur|dga,certain,resolved,0
2008,870,5403,administrateur|dga,certain,ambiguous,0
2008,870,5409,administrateur,certain,ambiguous,0
2008,872,3739,dg,certain,ambiguous,0
2008,877,3421,dga,probable,ambiguous,0
2008,878,3421,pdg,probable,ambiguous,0
2008,880,4138,administrateur,probable,ambiguous,1
2008,882,3289,gerant,certain,resolved,0
2008,893,3467,associe,probable,resolved,1
2008,894,3468,unspecified,certain,resolved,0
2008,895,3858,gerant,certain,resolved,0
2008,901,3707,gerant,certain,resolved,0
2008,902,4894,gerant,certain,resolved,0
2008,903,5480,pdg,certain,ambiguous,0
2008,904,3455,president_ca,certain,ambiguous,0
2008,906,4570,liquidateur,certain,resolved,1
2008,908,4621,gerant,certain,resolved,0
2008,912,2828,administrateur,probable,resolved,0
2008,912,5482,administrateur,probable,ambiguous,0
2008,914,4983,gerant,certain,ambiguous,0
2008,919,4619,gerant,certain,resolved,0
2008,933,4985,president_ca,certain,resolved,0
2008,934,2888,gerant,certain,ambiguous,1
2008,934,4366,gerant,certain,resolved,0
2008,937,2822,gerant,certain,ambiguous,1
2008,946,4044,associe,certain,ambiguous,0
2008,948,4803,pdg,certain,resolved,0
2008,951,3769,gerant,certain,resolved,0
2008,960,3112,pdg,certain,resolved,0
2008,962,3113,gerant,probable,resolved,0
2008,962,3115,pdg,certain,resolved,0
2008,962,4929,pdg,certain,resolved,0
2008,963,4500,gerant,certain,resolved,0
2008,975,3602,administrateur,certain,resolved,0
2008,976,2861,gerant,certain,ambiguous,1
2008,976,3329,gerant,certain,resolved,0
2008,980,3138,commissaire_aux_comptes,probable,ambiguous,0
2008,983,4922,administrateur,certain,resolved,0
2008,985,2706,dg,certain,resolved,0
2008,986,4656,administrateur,certain,ambiguous,0
2008,987,3709,administrateur,probable,resolved,0
2008,990,3653,gerant,certain,resolved,0
2008,993,3425,gerant,certain,resolved,0
2008,997,3937,pdg|unspecified,certain,ambiguous,1
2008,1000,2980,gerant,certain,resolved,0
2008,1002,3995,dg,probable,ambiguous,1
2008,1004,3328,gerant,certain,ambiguous,0
2008,1007,4456,gerant,probable,ambiguous,1
2008,1009,3220,dga,probable,resolved,1
2008,1009,3531,dga,probable,resolved,1
2008,1009,5409,dg|pdg,certain,ambiguous,1
2008,1011,4141,gerant,probable,resolved,0
2008,1014,3737,pdg,probable,resolved,0
2008,1022,4041,gerant,certain,resolved,0
2008,1029,4889,pdg,certain,resolved,0
2008,1031,2621,pdg,certain,resolved,1
2008,1031,3141,pdg,certain,ambiguous,0
2008,1037,3291,association_president,certain,resolved,0
2008,1038,3744,gerant,probable,ambiguous,1
2008,1041,4288,pdg,certain,resolved,0
2008,1046,3685,gerant,probable,resolved,1
2008,1050,3842,commissaire_aux_comptes,certain,resolved,0
2008,1053,5220,dga,certain,resolved,0
2008,1058,5058,gerant,certain,resolved,0
2008,1061,2683,gerant,certain,resolved,0
2008,1066,4591,associe,certain,resolved,0
2008,1077,4268,commissaire_aux_comptes,certain,resolved,0
2008,1085,3187,gerant,probable,ambiguous,1
2008,1092,2635,president_ca,certain,ambiguous,0
2008,1095,2604,unspecified,certain,resolved,0
2008,1096,3943,gerant,certain,resolved,0
2008,1097,3082,gerant,certain,resolved,0
2008,1098,4685,gerant,certain,resolved,0
2008,1103,3940,pdg,certain,resolved,1
2008,1109,5074,administrateur,probable,ambiguous,1
2008,1112,5259,gerant,certain,resolved,0
2008,1133,3907,gerant,certain,resolved,0
2008,1136,3087,dg,certain,resolved,0
2008,1139,2946,administrateur,probable,ambiguous,0
2008,1139,4577,administrateur|pdg,certain,resolved,1
2008,1139,5189,dga,certain,resolved,0
2008,1141,4759,gerant,certain,ambiguous,1
2008,1152,5214,gerant,certain,resolved,0
2008,1154,4333,unspecified,certain,ambiguous,0
2008,1155,4333,unspecified,certain,ambiguous,0
2008,1159,4333,unspecified,certain,ambiguous,0
2008,1159,5481,dg,probable,ambiguous,0
2008,1161,4333,unspecified,certain,ambiguous,0
2008,1171,4024,gerant,probable,resolved,1
2008,1176,3990,administrateur,certain,resolved,0
2008,1179,4841,dg,certain,resolved,0
2008,1179,4987,dg,certain,resolved,0
2008,1183,5102,dg,certain,resolved,1
2008,1184,4913,pdg,certain,resolved,0
2008,1190,3649,gerant,certain,ambiguous,0
2008,1197,3645,gerant,certain,resolved,0
2008,1200,3469,gerant,certain,resolved,0
2008,1208,4352,gerant,certain,resolved,0
2008,1208,5190,gerant,certain,resolved,0
2008,1209,4424,gerant,certain,resolved,0
2008,1217,3442,gerant,certain,resolved,0
2008,1221,2660,gerant,certain,resolved,0
2008,1225,4928,gerant,certain,resolved,1
2008,1238,4471,gerant,certain,resolved,0
2008,1239,3024,administrateur,certain,resolved,0
2008,1239,4195,administrateur,certain,ambiguous,0
2008,1241,3648,gerant,certain,resolved,1
2008,1253,4805,gerant,certain,resolved,0
2008,1254,3159,gerant,probable,resolved,0
2008,1254,3808,gerant,certain,resolved,0
2008,1257,4068,gerant,certain,resolved,0
2008,1259,2860,gerant,certain,resolved,0
2008,1262,3642,gerant,certain,resolved,0
2008,1270,3599,gerant,certain,resolved,0
2008,1274,4345,gerant,probable,resolved,0
2008,1275,4622,gerant,certain,resolved,0
2008,1276,4605,liquidateur,certain,resolved,1
2008,1279,3866,gerant,certain,resolved,0
2008,1285,2979,gerant,certain,resolved,0
2008,1290,5357,pdg,certain,resolved,0
2008,1291,3187,administrateur,certain,ambiguous,1
2008,1297,3027,fondateur|pdg,certain,resolved,0
2008,1307,3187,gerant,certain,ambiguous,1
2008,1317,3772,gerant,certain,resolved,0
2008,1320,3016,gerant,probable,resolved,1
2008,1322,4867,gerant,certain,resolved,1
2008,1326,4829,administrateur,certain,ambiguous,0
2008,1331,2772,gerant,certain,resolved,0
2008,1334,4890,gerant,certain,resolved,0
2008,1336,4434,gerant,probable,resolved,0
2008,1338,4961,gerant,certain,resolved,0
2008,1338,5256,administrateur,certain,resolved,0
2008,1341,3075,gerant,certain,resolved,0
2008,1345,3149,gerant,probable,resolved,1
2008,1346,4911,unspecified,certain,resolved,0
2008,1357,4304,gerant,probable,ambiguous,1
2008,1369,3006,pdg,certain,resolved,0
2008,1373,2781,gerant,certain,resolved,0
2008,1377,2896,president_ca,certain,resolved,1
2008,1383,4727,gerant,certain,resolved,0
2008,1385,4435,gerant,certain,resolved,1
2008,1387,3582,cogerant,certain,resolved,0
2008,1388,5263,pdg,certain,resolved,0
2008,1396,4006,gerant,certain,resolved,0
2008,1396,4463,gerant,certain,resolved,1
2008,1399,5006,gerant,certain,resolved,0
2008,1402,3069,gerant,certain,resolved,0
2008,1403,4592,gerant,certain,resolved,0
2008,1406,3906,gerant,certain,resolved,0
2008,1410,4390,gerant,certain,resolved,0
2008,1412,3742,unspecified,certain,ambiguous,0
2008,1417,3066,cogerant,certain,resolved,0
2008,1422,2925,representant,certain,resolved,0
2008,1423,5467,gerant,certain,ambiguous,0
