family,people,marriages,allies,endogamous
Moulehom,7,1,1,0
Yaghlane,7,1,1,0
Zarrad,7,1,1,0
Abdeljaouad,6,1,1,0
Abidine,6,1,1,0
Aleya,6,1,1,0
Aouali,6,1,1,0
Aroui,6,1,1,0
Badreddine,6,1,1,0
Chirine,6,1,1,0
Djhane,6,1,1,0
Fatma,6,1,1,0
Ghalayini,6,1,1,0
Gritli,6,1,1,0
Hachefi,6,1,1,0
Kahouaji,6,1,1,0
Kallala,6,1,1,0
Kaouel,6,1,1,0
Kasraoui,6,1,1,0
Kechaou,6,1,1,0
Khanchel,6,1,1,0
Massia,6,1,1,0
Mehani,6,1,1,0
Melliti,6,1,1,0
Mezrioui,6,1,1,0
Mongalgi,6,1,1,0
Neffati,6,1,1,0
Sakkal,6,1,1,0
Sarraj,6,1,1,0
Somrani,6,1,1,0
Terrass,6,1,1,0
Abbar,5,1,1,0
Aïssaoui,5,1,1,0
Bakkar,5,1,1,0
Belloum,5,1,1,0
Bennouri,5,1,1,0
Bouabid,5,1,1,0
Boughanmi,5,1,1,0
Charbagi,5,1,1,0
Chehida,5,1,1,0
Chtourou,5,1,1,0
Frourej,5,1,1,0
Garaali,5,1,1,0
Gaâloul,5,1,1,0
Ghedamsi,5,1,1,0
Goucha,5,1,1,0
Habbej,5,1,1,0
Hajjar,5,1,1,0
Hanifi,5,1,1,0
Hussein,5,1,1,0
Ishkanes,5,1,1,0
Jomni,5,1,1,0
Khadija,5,1,1,0
Khosrof,5,1,1,0
Koutar,5,1,1,0
Laajili,5,1,1,0
Ladgham,5,1,1,0
Limam,5,1,1,0
Loubiri,5,1,1,0
Maghraoui,5,1,1,0
Malouch,5,1,1,0
Mathlouthi,5,1,1,0
Mehaoued,5,1,1,0
Mestaoui,5,1,1,0
Mezghani,5,1,1,0
Mezlini,5,1,1,0
Mouscou,5,1,1,0
Oukaci,5,1,1,0
Safta,5,1,1,0
Skanji,5,1,1,0
Soufi,5,1,1,0
Terzi,5,1,1,0
Tlatli,5,1,1,0
Touibi,5,1,1,0
Yakhou,5,1,1,0
Abarkan,4,1,1,0
Abbas,4,1,1,0
Abderrahim,4,1,1,0
Alila,4,1,1,0
Amarni,4,1,1,0
Belhédi,4,1,1,0
Bellalouna,4,1,1,0
Beltaief,4,1,1,0
Bezzaouia,4,1,1,0
Bohli,4,1,1,0
Boubakeur,4,1,1,0
Bouhouch,4,1,1,0
Chihaoui,4,1,1,0
Damir,4,1,1,0
Dellil,4,1,1,0
Elheni,4,1,1,0
Gassa,4,1,1,0
Ghandri,4,1,1,0
Ghomrassi,4,1,1,0
Jaied,4,1,1,0
Karaborni,4,1,1,0
Kedadi,4,1,1,0
Khazmi,4,1,1,0
Khedhiri,4,1,1,0
Kochbati,4,1,1,0
Lamouri,4,1,1,0
Lariani,4,1,1,0
Lefi,4,1,1,0
Lemkacher,4,1,1,0
Maghrebi,4,1,1,0
Meftah,4,1,1,0
Mehdoui,4,1,1,0
Mimita,4,1,1,0
Morjane,4,1,1,0
Nasra,4,1,1,0
Othmani,4,1,1,0
Ouenniche,4,1,1,0
Ourimi,4,1,1,1
Sioud,4,1,1,0
Somai,4,1,1,0
Tagorti,4,1,1,0
Taleb,4,1,1,0
Thraya,4,1,1,0
Trigui,4,1,1,0
Zarouane,4,1,1,0
Abdulhay,3,1,1,0
Aoued,3,1,1,0
Arbi,3,1,1,0
Azaïez,3,1,1,0
Azzouna,3,1,1,0
Baili,3,1,1,0
Balaâ,3,1,1,0
Bassem,3,1,1,0
Bedei,3,1,1,0
Belgacem,3,1,1,0
Beskok,3,1,1,0
Bessghaier,3,1,1,0
Beznine,3,1,1,0
Boudali,3,1,1,0
Bouhlel,3,1,1,0
Boujellabia,3,1,1,0
Bradai,3,1,1,0
Chaieb,3,1,1,0
Chichini,3,1,1,0
Dahab,3,1,1,0
Debbabi,3,1,1,0
Elaoud,3,1,1,0
Emazabel,3,1,1,0
Fares,3,1,1,0
Ferdjioui,3,1,1,0
Fouad,3,1,1,0
Froidefond,3,1,1,0
Gaamour,3,1,1,0
Gannoun,3,1,1,0
Ghotbi,3,1,1,0
Goubaa,3,1,1,0
Hadada,3,1,1,0
Hafi,3,1,1,0
Hamzaoui,3,1,1,0
Jabberi,3,1,1,0
Jalel,3,1,1,0
Jebara,3,1,1,0
Jebri,3,1,1,0
Jridi,3,1,1,0
Kaafar,3,1,1,0
Kara,3,1,1,0
Karafi,3,1,1,0
Khassassi,3,1,1,0
Khattabi,3,1,1,0
Khaznaji,3,1,1,0
Khemir,3,1,1,0
Kmar,3,1,1,0
Kortbi,3,1,1,0
Koubaa,3,1,1,0
Loghmari,3,1,1,0
Maalel,3,1,1,0
Mahbouba,3,1,1,0
Marchaoui,3,1,1,0
Mebarek,3,1,1,0
Mersni,3,1,1,0
Mili,3,1,1,0
Mâamouri,3,1,1,0
Namouchi,3,1,1,0
Nasr,3,1,1,0
Sabiha,3,1,1,0
Sandli,3,1,1,0
Sanna,3,1,1,0
Shabou,3,1,1,0
Slimene,3,1,1,0
Torgemane,3,1,1,0
Zayen,3,1,1,0
Zghal,3,1,1,0
Zmitri,3,1,1,0
Zohra,3,1,1,0
Zoubeidi,3,1,1,0
Aba,2,1,1,0
Abdelfatteh,2,1,1,0
Abdelhedi,2,1,1,0
Abdelkrim,2,1,1,0
Abittan,2,1,1,0
Affes,2,1,1,0
Aissi,2,1,1,0
Ajroud,2,1,1,0
Akkari,2,1,1,0
Akremi,2,1,1,0
Alouane,2,1,1,0
Amine,2,1,1,0
Aouina,2,1,1,0
Arbia,2,1,1,0
Aïcha,2,1,1,0
Baghdadi,2,1,1,0
Bakha,2,1,1,0
Bassoum,2,1,1,0
Belcaïd,2,1,1,0
Belkacem,2,1,1,0
Berrais,2,1,1,0
Blaiej,2,1,1,0
Bouaouaja,2,1,1,0
Boudakim,2,1,1,0
Bouhadida,2,1,1,0
Boukhchina,2,1,1,0
Boumaiza,2,1,1,0
Bouricha,2,1,1,0
Bouzahra,2,1,1,0
Brigui,2,1,1,0
Chaouche,2,1,1,0
Charrada,2,1,1,0
Chemakh,2,1,1,0
Chkondali,2,1,1,0
Daoulet,2,1,1,0
Debbeche,2,1,1,0
Dhambri,2,1,1,0
Dhib,2,1,1,0
Dhouib,2,1,1,0
Dhraief,2,1,1,0
Dimon,2,1,1,0
Donia,2,1,1,0
Ezzahi,2,1,1,0
Filali,2,1,1,0
Frida,2,1,1,0
Garouachi,2,1,1,0
Gomez,2,1,1,0
Habib,2,1,1,0
Hachich,2,1,1,0
Hadded,2,1,1,0
Hadhri,2,1,1,0
Hamadi,2,1,1,0
Hammamia,2,1,1,0
Hamzi,2,1,1,0
Haouas,2,1,1,0
Hariz,2,1,1,0
Harran,2,1,1,0
Hattab,2,1,1,0
Helal,2,1,1,0
Henchiri,2,1,1,0
Hfaïedh,2,1,1,0
Hlel,2,1,1,0
Houidi,2,1,1,0
Jallali,2,1,1,0
Jelloun,2,1,1,0
Jenane,2,1,1,0
Jlidi,2,1,1,0
Kachouri,2,1,1,0
Kadri,2,1,1,0
Karkouba,2,1,1,0
Kasri,2,1,1,0
Kedidi,2,1,1,0
Kharroubi,2,1,1,0
Khedher,2,1,1,0
Kheriji,2,1,1,0
Krout,2,1,1,0
Ktari,2,1,1,0
Laatiri,2,1,1,0
Laayeyda,2,1,1,0
Lachhab,2,1,1,0
Lejeune,2,1,1,0
Mahfoudh,2,1,1,0
Mahjouba,2,1,1,0
Mahmoudi,2,1,1,0
Mallek,2,1,1,0
Mama,2,1,1,0
Mannai,2,1,1,0
Mansouri,2,1,1,0
Martin,2,1,1,0
Massoud,2,1,1,0
Metheni,2,1,1,0
Milazzo,2,1,1,0
Moatemri,2,1,1,0
Mostacci,2,1,1,0
Moula,2,1,1,0
Nabi,2,1,1,0
Nagti,2,1,1,0
Najet,2,1,1,0
Ouedherfi,2,1,1,0
Ouerghi,2,1,1,0
Raies,2,1,1,0
Sabbahi,2,1,1,0
Sahnoun,2,1,1,0
Salemi,2,1,1,0
Salha,2,1,1,0
Sanekli,2,1,1,0
Shah,2,1,1,0
Sinaoui,2,1,1,0
Skouri,2,1,1,0
Souad,2,1,1,0
Taoufik,2,1,1,0
Thomas,2,1,1,0
Tijani,2,1,1,0
Tounes,2,1,1,0
Yehia,2,1,1,0
Zaazaa,2,1,1,0
Zaghdoudi,2,1,1,0
Zaghlet,2,1,1,0
Zelfani,2,1,1,0
Zerig,2,1,1,0
Zeïneb,2,1,1,0
Abdelhak,1,1,1,0
Abdelhalim,1,1,1,0
Abdeljawad,1,1,1,0
Abdessamad,1,1,1,0
Abla,1,1,1,0
Adamenko,1,1,1,0
Addad,1,1,1,0
Adhoum,1,1,1,0
Adjerit,1,1,1,0
Affroun,1,1,1,0
Aguerbi,1,1,1,0
Aguir,1,1,1,0
Aitani,1,1,1,0
Aljia,1,1,1,0
Allain,1,1,1,0
Allala+béchir,1,1,1,0
Alouani,1,1,1,0
Amal,1,1,1,0
Amamou,1,1,1,0
Amena,1,1,1,0
Amimi,1,1,1,0
Andrée,1,1,1,0
Aouichi,1,1,1,0
Argui,1,1,1,0
Armanasi,1,1,1,0
Aschi,1,1,1,0
Askar,1,1,1,0
Assia,1,1,1,0
Attaoui,1,1,1,0
Aubrac,1,1,1,0
Aziza,1,1,1,0
Azmeh,1,1,1,0
Aïssia,1,1,1,0
Baaziz,1,1,1,0
Babeau,1,1,1,0
Baccour,1,1,1,0
Bach,1,1,1,0
Bakini,1,1,1,0
Baktache,1,1,1,0
Balanche,1,1,1,0
Baraër,1,1,1,0
Barbanoy,1,1,1,0
Basrour,1,1,1,0
Bassalah,1,1,1,0
Bata,1,1,1,0
Batarekh,1,1,1,0
Batich,1,1,1,0
Bauer,1,1,1,0
Bazezi,1,1,1,0
Becker,1,1,1,0
Bedoui,1,1,1,0
Begum,1,1,1,0
Belajouza,1,1,1,0
Belassfer,1,1,1,0
Belhadjamor,1,1,1,0
Belhoul,1,1,1,0
Belino,1,1,1,0
Bellakhdher,1,1,1,0
Bellalah,1,1,1,0
Bellazrak,1,1,1,0
Benamor,1,1,1,0
Benbène,1,1,1,0
Berguiga,1,1,1,0
Berrached,1,1,1,0
Berrazaga,1,1,1,0
Besseoud,1,1,1,0
Bkalti,1,1,1,0
Blanc,1,1,1,0
Borges,1,1,1,0
Bouabdallah,1,1,1,0
Bouali,1,1,1,0
Bouarrouj,1,1,1,0
Bouazza,1,1,1,0
Boudhief,1,1,1,0
Boufeid,1,1,1,0
Boughrara,1,1,1,0
Boughzou,1,1,1,0
Bouhaha,1,1,1,0
Bouhani,1,1,1,0
Boujeh,1,1,1,0
Bouleymane,1,1,1,0
Boumdi,1,1,1,0
Bouquilon,1,1,1,0
Bourigua,1,1,1,0
Bourne,1,1,1,0
Boussaada,1,1,1,0
Boussaidi,1,1,1,0
Bousselmi,1,1,1,0
Bouznade,1,1,1,0
Brajus,1,1,1,0
Brinis,1,1,1,0
Bully,1,1,1,0
Caron,1,1,1,0
Chaaba,1,1,1,0
Chaabani,1,1,1,0
Chaalala,1,1,1,0
Chagouani,1,1,1,0
Chakouani,1,1,1,0
Chamli,1,1,1,0
Charnine,1,1,1,0
Charradi,1,1,1,0
Chatelier,1,1,1,0
Chattali,1,1,1,0
Chaâbana,1,1,1,0
Chekili,1,1,1,0
Chenaina,1,1,1,0
Cheour,1,1,1,0
Cherichi,1,1,1,0
Chettaoui,1,1,1,0
Ching,1,1,1,0
Cholley,1,1,1,0
Chonee,1,1,1,0
Chrita,1,1,1,0
Chwikar,1,1,1,0
Class,1,1,1,0
Colette,1,1,1,0
Combas,1,1,1,0
Cornegliano,1,1,1,0
Cornu,1,1,1,0
Coupet,1,1,1,0
Dabbebi,1,1,1,0
Dahmouni,1,1,1,0
Dalmais,1,1,1,0
Danielle,1,1,1,0
Darwazah,1,1,1,0
Dassi,1,1,1,0
Dattilo,1,1,1,0
Daw,1,1,1,0
Delavacherie,1,1,1,0
Dhiab,1,1,1,0
Dhiafat,1,1,1,0
Dhouibi,1,1,1,0
Diba,1,1,1,0
Djaziri,1,1,1,0
Dorbec,1,1,1,0
Douay,1,1,1,0
Douraï,1,1,1,0
Ducrocq,1,1,1,0
Dupuis,1,1,1,0
Eddhahbi,1,1,1,0
Elfadhel,1,1,1,0
Eltaïef,1,1,1,0
Ely,1,1,1,0
Enzminger,1,1,1,0
Eparvier,1,1,1,0
Erraiess,1,1,1,0
Erraïsi,1,1,1,0
Espada,1,1,1,0
Farjallah,1,1,1,0
Felfel,1,1,1,0
Ferida,1,1,1,0
Forster,1,1,1,0
Frad,1,1,1,0
Françoise,1,1,1,0
Freij,1,1,1,0
Friha,1,1,1,0
Gaafar,1,1,1,0
Gabroun,1,1,1,0
Gabsi,1,1,1,0
Gall,1,1,1,0
Gallas,1,1,1,0
Gamba,1,1,1,0
Gammar,1,1,1,0
Garcia,1,1,1,0
Gargani,1,1,1,0
Garland,1,1,1,0
Gazzeh,1,1,1,0
Gervais,1,1,1,0
Ghadira,1,1,1,0
Ghafferi,1,1,1,0
Ghaleb,1,1,1,0
Ghalia,1,1,1,0
Ghalloussi,1,1,1,0
Ghanjati,1,1,1,0
Ghelici,1,1,1,0
Gheni,1,1,1,0
Ghenia,1,1,1,0
Ghenima,1,1,1,0
Ghidalia,1,1,1,0
Ghiggino,1,1,1,0
Ghorch,1,1,1,0
Ghoula,1,1,1,0
Ghrairi,1,1,1,0
Ghroum,1,1,1,0
Giorgiana,1,1,1,0
Golli,1,1,1,0
Gorkey,1,1,1,0
Goubantini,1,1,1,0
Grasso,1,1,1,0
Gueci,1,1,1,0
Guetati,1,1,1,0
Guidaoui,1,1,1,0
Guilbert,1,1,1,0
Guinet,1,1,1,0
Gulec,1,1,1,0
Guéry,1,1,1,0
Habassi,1,1,1,0
Habibi,1,1,1,0
Haboubi,1,1,1,0
Hadaji,1,1,1,0
Haddouk,1,1,1,0
Haffar,1,1,1,0
Hafiz,1,1,1,0
Hafsa,1,1,1,0
Hafsi,1,1,1,0
Hajji,1,1,1,0
Hamoudiya,1,1,1,0
Haoues,1,1,1,0
Haouich,1,1,1,0
Hasni,1,1,1,0
Hazette,1,1,1,0
Hazrat,1,1,1,0
Hedblom,1,1,1,0
Hedri,1,1,1,0
Hefaf,1,1,1,0
Hellali,1,1,1,0
Hemlati,1,1,1,0
Henchir,1,1,1,0
Henrikson,1,1,1,0
Herbin,1,1,1,0
Hervé,1,1,1,0
Hezami,1,1,1,0
Hidoussi,1,1,1,0
Hidri,1,1,1,0
Hochlef,1,1,1,0
Homrani,1,1,1,0
Hédia,1,1,1,0
Jadoui,1,1,1,0
Jalal,1,1,1,0
Jalloun,1,1,1,0
Jan,1,1,1,0
Jawhara,1,1,1,0
Jean-Baptiste,1,1,1,0
Jebalia,1,1,1,0
Jebari,1,1,1,0
Jedaï,1,1,1,0
Jelliti,1,1,1,0
Jemai,1,1,1,0
Jemmali,1,1,1,0
Jemour,1,1,1,0
Jenayah,1,1,1,0
Jihan,1,1,1,0
Jilani,1,1,1,0
Jomaa,1,1,1,0
Jonsson,1,1,1,0
Justo-Hamza,1,1,1,0
Kahla,1,1,1,0
Kaidi,1,1,1,0
Karabi,1,1,1,0
Karkar,1,1,1,0
Karma,1,1,1,0
Kassous,1,1,1,0
Kastellanos,1,1,1,0
Kazoula,1,1,1,0
Kaâouana,1,1,1,0
Kebakbi,1,1,1,0
Kechiche,1,1,1,0
Kedadouche,1,1,1,0
Kekhia,1,1,1,0
Kendil,1,1,1,0
Kerkech,1,1,1,0
Khadhraoui,1,1,1,0
Khadijé,1,1,1,0
Khadri,1,1,1,0
Khalladi,1,1,1,0
Kharbouch,1,1,1,0
Khayem,1,1,1,0
Khazzar,1,1,1,0
Khedhri,1,1,1,0
Khedim,1,1,1,0
Khedimi,1,1,1,0
Khemira,1,1,1,0
Khoud,1,1,1,0
Khoury,1,1,1,0
Kim,1,1,1,0
Kirschnar,1,1,1,0
Klepatsky,1,1,1,0
Koubekji,1,1,1,0
Koumenji,1,1,1,0
Kramer,1,1,1,0
Krimi,1,1,1,0
Lachiheb,1,1,1,0
Lachnani,1,1,1,0
Laghbabi,1,1,1,0
Laghmani,1,1,1,0
Laghouil,1,1,1,0
Lahdhiri,1,1,1,0
Lahouag,1,1,1,0
Lahoual,1,1,1,0
Lajili,1,1,1,0
Lakhal,1,1,1,0
Lamaud,1,1,1,0
Lamia,1,1,1,0
Lammali,1,1,1,0
Lamouchi,1,1,1,0
Lanouar,1,1,1,0
Larouchi,1,1,1,0
Latiri,1,1,1,0
Laville,1,1,1,0
Leblond,1,1,1,0
Lecoq,1,1,1,0
Ledoux,1,1,1,0
Lee,1,1,1,0
Leplang,1,1,1,0
Liimatainen,1,1,1,0
Likens,1,1,1,0
Locate,1,1,1,0
Lombardi,1,1,1,0
Lorenzetti,1,1,1,0
Louhichi,1,1,1,0
Louki,1,1,1,0
Loukil,1,1,1,0
Lounitch,1,1,1,0
Lévy-Despas,1,1,1,0
Mabire,1,1,1,0
Magliano,1,1,1,0
Maherzia,1,1,1,0
Maistret,1,1,1,0
Mallah,1,1,1,0
Malléjac,1,1,1,0
Manana,1,1,1,0
Margueritta,1,1,1,0
Martel,1,1,1,0
Mathieu,1,1,1,0
Mayl,1,1,1,0
Maâli,1,1,1,0
Maâtoug,1,1,1,0
Mdhafer,1,1,1,0
Mechennef,1,1,1,0
Mechichi,1,1,1,0
Medassi,1,1,1,0
Meddah,1,1,1,0
Mehdi,1,1,1,0
Mehidi,1,1,1,0
Mehio,1,1,1,0
Mekadmini,1,1,1,0
Menlikli,1,1,1,0
Mergheni,1,1,1,0
Merrichkou,1,1,1,0
Methemem,1,1,1,0
Meticha,1,1,1,0
Metnani,1,1,1,0
Mezgheni,1,1,1,0
Mheni,1,1,1,0
Micky,1,1,1,0
Midouni,1,1,1,0
Minaoui,1,1,1,0
Missoum,1,1,1,0
Mlaiki,1,1,1,0
Mlawah,1,1,1,0
Mnaouar,1,1,1,0
Mohsni,1,1,1,0
Montelatici,1,1,1,0
Morançais,1,1,1,0
Morchdi,1,1,1,0
Mosrian,1,1,1,0
Mouchet,1,1,1,0
Moujbani,1,1,1,0
Moulk,1,1,1,0
Mouléh,1,1,1,0
Mounadi,1,1,1,0
Mounira,1,1,1,0
Mtira,1,1,1,0
Mur,1,1,1,0
Murzi,1,1,1,0
Muscat,1,1,1,0
Mussat,1,1,1,0
Mzid,1,1,1,0
Nacer,1,1,1,0
Nadal,1,1,1,0
Nahali,1,1,1,0
Naili,1,1,1,0
Naima,1,1,1,0
Naja,1,1,1,0
Nakbi,1,1,1,0
Namer,1,1,1,0
Namou,1,1,1,0
Navarro,1,1,1,0
Nebi,1,1,1,0
Negra,1,1,1,0
Nejah,1,1,1,0
Nelson,1,1,1,0
Neqch,1,1,1,0
Nessir,1,1,1,0
Neïli,1,1,1,0
Nicolas,1,1,1,0
Noura,1,1,1,0
Oghbi,1,1,1,0
Oued,1,1,1,0
Ouerfelli,1,1,1,0
Ouimet,1,1,1,0
Oukaâ,1,1,1,0
Oukhay,1,1,1,0
Ourabi,1,1,1,0
Paciotti,1,1,1,0
Pedone,1,1,1,0
Pellé,1,1,1,0
Pelé,1,1,1,0
Penaud,1,1,1,0
Petersen,1,1,1,0
Peypoch,1,1,1,0
Pietro,1,1,1,0
Pouil,1,1,1,0
Quintal,1,1,1,0
Quéré,1,1,1,0
Rabaâ,1,1,1,0
Rabbeh,1,1,1,0
Raboudi,1,1,1,0
Ragonnaud,1,1,1,0
Rahma,1,1,1,0
Rahmen,1,1,1,0
Rakam,1,1,1,0
Ramos,1,1,1,0
Rassaâ,1,1,1,0
Rebia,1,1,1,0
Redjeb,1,1,1,0
Refaï,1,1,1,0
Rejiba,1,1,1,0
Renaudin,1,1,1,0
Rhaiem,1,1,1,0
Richez,1,1,1,0
Rihane,1,1,1,0
Riza-Pacha,1,1,1,0
Rodesly,1,1,1,0
Romdane,1,1,1,0
Rouached,1,1,1,0
Roubaud,1,1,1,0
Rouissi,1,1,1,0
Saafi,1,1,1,0
Sadia,1,1,1,0
Safra,1,1,1,0
Saibi,1,1,1,0
Salama,1,1,1,0
Sallouha,1,1,1,0
Saloua,1,1,1,0
Samia,1,1,1,0
Samouda,1,1,1,0
Sanctis,1,1,1,0
Saphir,1,1,1,0
Savier,1,1,1,0
Saïdi,1,1,1,0
Schneider,1,1,1,0
Schoen,1,1,1,0
Sdiri,1,1,1,0
Seddik,1,1,1,0
Seidel,1,1,1,0
Selmi,1,1,1,0
Senane,1,1,1,0
Senemaud,1,1,1,0
Senut,1,1,1,0
Sherei,1,1,1,0
Shiha,1,1,1,0
Siragusa,1,1,1,0
Smadhi,1,1,1,0
Smiri,1,1,1,0
Smouali,1,1,1,0
Snine,1,1,1,0
Soltani,1,1,1,0
Sonia,1,1,1,0
Sonzoni,1,1,1,0
Souid,1,1,1,0
Soukeh,1,1,1,0
Soulaï,1,1,1,0
Soumer,1,1,1,0
Spasevsky,1,1,1,0
Stepleton,1,1,1,0
Sévre,1,1,1,0
Talhaoui,1,1,1,0
Tarchouna,1,1,1,0
Tarek,1,1,1,0
Tarifa,1,1,1,0
Tarrouch,1,1,1,0
Taïeb,1,1,1,0
Telich,1,1,1,0
Testouri,1,1,1,0
Teta,1,1,1,0
Thyrman,1,1,1,0
Tkhayat,1,1,1,0
Trifa,1,1,1,0
Turque,1,1,1,0
Venslauskaite,1,1,1,0
Verena,1,1,1,0
Vernet,1,1,1,0
Verney,1,1,1,0
Vichy,1,1,1,0
Viguier,1,1,1,0
Vostova,1,1,1,0
Wardalitou,1,1,1,0
Weinwisser,1,1,1,0
Yared,1,1,1,0
Yazid,1,1,1,0
Yeddes,1,1,1,0
Younsi,1,1,1,0
Youssefi,1,1,1,0
Zaanouni,1,1,1,0
Zaara,1,1,1,0
Zabedi,1,1,1,0
Zaghbouni,1,1,1,0
Zahmoune,1,1,1,0
Zaiane,1,1,1,0
Zaibi,1,1,1,0
Zalila,1,1,1,0
Zaragoza,1,1,1,0
Zargouni,1,1,1,0
Zayana,1,1,1,0
Zaïri,1,1,1,0
Zeddini,1,1,1,0
Zeineddine,1,1,1,0
Zemni,1,1,1,0
Zendah,1,1,1,0
Zezia,1,1,1,0
Ziadi,1,1,1,0
Zoghlami,1,1,1,0
Zouhra,1,1,1,0
Zouidi,1,1,1,0
d'Affronto,1,1,1,0
d'Anna,1,1,1,0
Fertani,43,0,0,0
Trimech,42,0,0,0
Becher,37,0,0,0
Koundi,36,0,0,0
Handous,34,0,0,0
Tarkhani,33,0,0,0
Daoulatli,32,0,0,0
Mallouki,29,0,0,0
Bouhajeb,28,0,0,0
Zitouni,28,0,0,0
Douss,27,0,0,0
Feki,25,0,0,0
Hababou,25,0,0,0
Bouakkez,24,0,0,0
Sakkat,24,0,0,0
Belouedhnine,23,0,0,0
Djellab,23,0,0,0
Abdellah,22,0,0,0
Ghannouchi,22,0,0,0
Senoussi,22,0,0,0
Aoufi,21,0,0,0
Béji,21,0,0,0
Ennajjar,21,0,0,0
Khayachi,21,0,0,0
Behi,20,0,0,0
Kasbaoui,20,0,0,0
Krifa,20,0,0,0
Baroudi,19,0,0,0
Esseddik,19,0,0,0
Fodha,19,0,0,0
Kabadou,18,0,0,0
Mouhli,18,0,0,0
Hajjam,17,0,0,0
Dorai,16,0,0,0
Hadri,16,0,0,0
Jaouhri,15,0,0,0
Bayram,14,0,0,0
Ernez,14,0,0,0
Harmel,14,0,0,0
Ladhib,14,0,0,0
Dourai,13,0,0,0
Baouendi,12,0,0,0
Bayali,12,0,0,0
Betbout,12,0,0,0
Bourkhis,12,0,0,0
Damak,12,0,0,0
Dghim,12,0,0,0
Dordghane,12,0,0,0
Ferah,12,0,0,0
Kassab,12,0,0,0
Kheireddine,12,0,0,0
Nayel,12,0,0,0
Neji,12,0,0,0
Yahiaoui,12,0,0,0
Avvocato,11,0,0,0
Badra,11,0,0,0
Boussetta,11,0,0,0
Gaïda,11,0,0,0
Henidi,11,0,0,0
Horchani,11,0,0,1
Maali,11,0,0,0
Mhiri,11,0,0,0
Najar,11,0,0,0
Rhouma,11,0,0,0
Sraïri,11,0,0,0
Belbey,10,0,0,0
Boussofara,10,0,0,0
Doraï,10,0,0,0
Fessi,10,0,0,0
Haoua,10,0,0,0
Jaouadi,10,0,0,0
Kharbeche,10,0,0,0
Massouda,10,0,0,0
Mhennia,10,0,0,0
Torjmane,10,0,0,0
Benaïssa,9,0,0,0
Chipreo,9,0,0,0
Conti,9,0,0,0
Dhab,9,0,0,0
Djebali,9,0,0,0
Kinani,9,0,0,0
Lazoughli,9,0,0,0
Loussaief,9,0,0,0
Mallamelli,9,0,0,0
Mesli,9,0,0,0
Sghairi,9,0,0,0
Zbiss,9,0,0,0
Amrouche,8,0,0,0
Djaiet,8,0,0,0
Gueyouche,8,0,0,0
Issad,8,0,0,0
Jabouzi,8,0,0,0
Khechine,8,0,0,0
Knani,8,0,0,0
Labiodh,8,0,0,0
Mejbri,8,0,0,0
Rahali,8,0,0,0
Sidriani,8,0,0,0
Spiteri,8,0,0,0
Tahar,8,0,0,0
Toukabri,8,0,0,0
Askri,7,0,0,0
Azzouzi,7,0,0,0
Belkhir,7,0,0,0
Besseghaier,7,0,0,0
Bouleymen,7,0,0,0
Dekhil,7,0,0,0
Ferhani,7,0,0,0
Ghrab,7,0,0,0
Gmiza,7,0,0,0
Grissa,7,0,0,0
Hanafy,7,0,0,0
Haneyen,7,0,0,0
Hmadou,7,0,0,0
Jabbes,7,0,0,0
Jaffel,7,0,0,0
Kaabi,7,0,0,0
Khemakhem,7,0,0,0
Kriâa,7,0,0,0
Ksouri,7,0,0,0
Maouia,7,0,0,0
Menchari,7,0,0,0
Metahni,7,0,0,0
Omar,7,0,0,0
Rejeb,7,0,0,0
Snadli,7,0,0,0
Abdessalem,6,0,0,0
Arif,6,0,0,0
Azzeddine,6,0,0,0
Bchir,6,0,0,0
Bechir,6,0,0,0
Besrour,6,0,0,0
Beyrakdar,6,0,0,0
Bouiraz,6,0,0,0
Bouyahia,6,0,0,0
Chaherli,6,0,0,0
Dagdoug,6,0,0,0
Ennaceur,6,0,0,0
Enneifer,6,0,0,0
Feriani,6,0,0,0
Garsaa,6,0,0,0
Hachem,6,0,0,0
Haddada,6,0,0,0
Hakim,6,0,0,0
Haouat,6,0,0,0
Jouahri,6,0,0,0
Machat,6,0,0,0
Machouche,6,0,0,0
Mahjoubi,6,0,0,0
Manaa,6,0,0,0
Mbazâa,6,0,0,0
Mediouni,6,0,0,0
Neffeti,6,0,0,0
Ouafi,6,0,0,0
Ouichka,6,0,0,0
Pacha,6,0,0,0
Saidani,6,0,0,0
Saimanouli,6,0,0,0
Tborbi,6,0,0,0
Zeghidi,6,0,0,0
Adda,5,0,0,0
Ala,5,0,0,0
Andalousi,5,0,0,0
Andari,5,0,0,0
Ariane,5,0,0,0
Attar,5,0,0,0
Azayez,5,0,0,0
Badaï,5,0,0,0
Bairam,5,0,0,0
Barsaoui,5,0,0,0
Baykara,5,0,0,0
Bellil,5,0,0,0
Benaissa,5,0,0,0
Borsali,5,0,0,0
Boughzela,5,0,0,0
Bouhdiba,5,0,0,0
Boujallabia,5,0,0,0
Bouladi,5,0,0,0
Boutaghane,5,0,0,0
Derwiche,5,0,0,0
Ellafi,5,0,0,0
Fegoun,5,0,0,0
Gharsallah,5,0,0,0
Ghrissi,5,0,0,0
Hassan,5,0,0,0
Husaini,5,0,0,0
Jazy,5,0,0,0
Jaâfoura,5,0,0,0
Kadhi,5,0,0,0
Khila,5,0,0,0
Laamiri,5,0,0,0
Laarabi,5,0,0,0
M'rabet,5,0,0,0
Maarouf,5,0,0,0
Mbarki,5,0,0,0
