page_uid,pdf_page,folio,image_sha256,text_sha256,n_chars,arabic_char_frac,ocr_engine,ocr_version,ocr_config,status,needs_review
aalam:p073,73,71,193f1c4c2008cb21d5ab9f398853ac38de8f930fb3bd5d07aa5fa91e57b7d6ae,1f40d9052e8323d5376586cb4f455ea8f405a5efbfb792e8e34b58bcbd4c65b4,910,0.9352,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p074,74,72,5829e9476c68120abfe2e882b1b928855c823bae714514bc01706651d394816b,6eb1d8f8f1cec3af4e27744bff25ecdfffeb0d3ea791a78693c6e8dd1f7927a3,1350,0.9746,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p075,75,73,4f3ef5e05ec801ce3264910f471806ac783dd3efa7aef76541dded78777b11dc,b32561d5764f940e1d7d4596831fee362c44405b9cc5d9b281eae41e634178dc,1436,0.9702,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p076,76,74,5a2e7fc79b8bb37dc81d2724e1a03e250af006fee564e0e584a75fa0d6f3e8f5,63ded018e2ff54ce01a872eb3b68674a5f602b7e7e684ee49f5d903b27835979,1510,0.9791,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p077,77,75,13560915b66f0c95309ea2d1be412ae959585778bbffc22cd290d54a009cb946,222484af1483d3a1ab887218a23f46a1074a07db1bbc3d6c096a9de31ca6b26b,1484,0.9779,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p078,78,76,965ea335ca0c3b5f8950c77fc28f5db896826f2b3f561222253d44754a46dbbc,818f3b3c90a118726e94da22c36dd662f22d6f7081e86bb2afa9db1267502c39,1430,0.9771,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p079,79,77,4e92f73f841310a3053fa3c5042a83688cb1da89505cf095398623ef80b69ad2,2cfa08cba8c7df5e6e27103bd5e7e832723be353313a9cf56c3a920b7a1d8685,240,0.9637,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p080,80,78,3e86e3b6edfbfbe5bfacf4d59c7ad3f15c2b482e1808140bc854b1ea8aebb9f2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0.0,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,empty,yes
aalam:p081,81,79,3147e17fff043cd37320acf40c83295b67dd029dad0d82d5f4a133c06a0f2cf4,6d3d159a0090c6bbf2babb0215f82eefbe343bdebd4ac75d648dbb988d0fe8b1,826,0.9632,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p082,82,80,046aa50092f4c7d70a6d010249d02a26458735290fc8fdbcf1cbf6e261676d5c,e6454febc825ae1262bfe35f4be4cf3c16c348a7428bfd202d46090b7005c611,1438,0.9865,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
