rank,node_id,label,node_class,draw_class,betweenness,coreness,x,y
61,CO_TUNISIENNE_DASSURANCES_REASSURANCES_STAR,SOCIETE TUNISIENNE DASSURANCES ET DE REASSURANCES STAR,company,private,3240512.1,5,0.0219,-0.0549
62,PERSON_CHERIF_MOHAMED,MOHAMED CHERIF,individual,person,3137080.8,4,-0.2973,0.0408
63,BLOC_BLOC_DEMOCRATE,BLOC DEMOCRATE,party / parliamentary bloc,state,3051647.0,3,-0.4928,-0.6730
64,PERSON_MZABI_MONCEF,MONCEF MZABI,individual,person,3035751.3,4,0.5856,0.2302
65,BLOC_BLOC_QALB_TOUNES,BLOC QALB TOUNES,party / parliamentary bloc,state,3012735.0,3,-0.3045,0.6262
66,ORG_CONECT,CONECT,association / union,private,3002099.2,2,0.2920,0.6302
67,PERSON_BENAMOR_BECHIR,BECHIR BEN-AMOR,individual,person,2971196.6,4,0.0022,0.2532
68,ORGE_88f0e6a8da50388af79e,S,company,private,2875599.1,3,-1.0000,-0.0275
69,PERSON_REKIK_SALMA_ELOUMI,SALMA ELLOUMI REKIK,individual,person,2858500.7,6,0.2032,0.4694
70,PERSON_HAMAMI_MOHAMED,MOHAMED HAMMAMI,individual,person,2806268.4,3,-0.1043,-0.0098
71,PERSON_ZAHAF_SLAHEDINE,SLAHEDDINE ZAHAF,individual,person,2801740.7,4,0.7279,-0.6980
72,PERSON_BOUZGUENDA_AHMED,AHMED BOUZGUENDA,individual,person,2791580.8,5,0.3727,-0.2554
73,CO_UNION_INTERNATIONALE_BANQUE,UNION INTERNATIONALE DE BANQUE UIB,association / union,private,2734102.3,4,0.4245,0.0057
74,PERSON_TAMARZISTE_MEHDI,MEHDI TAMARZISTE,individual,person,2724288.0,4,0.0232,-0.5700
75,GOV_ESSID_GOVERNMENT,ESSID GOVERNMENT,state body,state,2709435.5,4,0.3935,0.3191
76,CO_MEDITERRANEAN_INDUSTRIAL_GROUP,MEDITERRANEAN INDUSTRIAL GROUP MIG,company,private,2681315.2,5,0.0622,-0.3747
77,CO_STEG_INTERNATIONAL_SERVICES,STEG INTERNATIONAL SERVICES,company,private,2651068.4,4,-0.3670,-0.2272
78,PERSON_BAYAHI_TAIEB,TAIEB BAYAHI,individual,person,2620750.4,5,0.2614,-0.5286
79,ORG_INSTITUT_ARABE_CHEFS_D_ENTREPRISES,INSTITUT ARABE DES CHEFS D'ENTREPRISES,association / union,private,2606343.8,3,0.4875,-0.5706
80,PERSON_SLAMA_ALI,ALI SLAMA,individual,person,2603838.6,6,0.4786,0.3478
81,BLOC_BLOC_ENNAHDHA,BLOC ENNAHDHA,party / parliamentary bloc,state,2568308.5,4,0.0313,-0.8768
82,CO_ATELIERS_MECANIQUES_SAHEL,ATELIERS MECANIQUES DU SAHEL AMS,company,private,2516241.8,5,-0.0558,-0.4054
83,CO_SFBT,SFBT,company,private,2511297.3,5,0.0096,-0.3582
84,PERSON_SASI_MOHAMED,MOHAMED SASSI,individual,person,2482896.6,4,1.0000,-0.2668
85,GOV_UNITED_STATES_DEPARTMENT_OF_STATE,UNITED STATES DEPARTMENT OF STATE,state body,state,2473585.9,2,0.5917,-0.7837
86,PERSON_FRIKHA_MOHAMED,MOHAMED FRIKHA,individual,person,2463183.3,4,0.6858,-0.2570
87,PERSON_CHARFEDINE_RIDHA,RIDHA CHARFEDDINE,individual,person,2459983.4,4,-0.2041,0.3608
88,CO_TUNINVEST_SERVICES,TUNINVEST SERVICES,company,private,2455156.9,5,0.1818,-0.1545
89,BLOC_COALITION_NATIONALE,COALITION NATIONALE,party / parliamentary bloc,state,2409986.4,4,-0.1551,0.3972
90,PERSON_DRIS_HICHEM,HICHEM DRISS,individual,person,2382923.2,6,0.1813,0.3217
91,CO_UNIVERS_INVEST_SICAR,UNIVERS INVEST SICAR,company,private,2344797.9,4,-0.1848,0.2531
92,CO_POLYCLINIQUE_TAOUFIK,POLYCLINIQUE TAOUFIK,company,private,2310005.7,4,-0.1835,-0.0351
93,PERSON_MASMOUDI_MOHAMED,MOHAMED MASMOUDI,individual,person,2305533.0,3,-0.7799,-0.0343
94,PERSON_DRIS_ZOHRA,ZOHRA DRISS,individual,person,2278619.5,6,0.0312,0.4010
95,PERSON_BAYAHI_YAHIA,YAHIA BAYAHI,individual,person,2248883.4,5,0.3596,-0.3979
96,PERSON_FERIANI_SLIM,SLIM FERIANI,individual,person,2247792.2,4,0.0891,0.1244
97,PERSON_KARAM_AHMED,AHMED KARAM,individual,person,2246484.6,4,0.4660,-0.2871
98,CO_BANQUE_ZITOUNA,BANQUE ZITOUNA,company,private,2206141.0,5,0.6121,-0.0572
99,PERSON_HACHICHA_MOHSEN,MOHSEN HACHICHA,individual,person,2188163.9,4,-0.0400,0.2603
100,PERSON_MABROUK_MOHAMED_MARWEN,MOHAMED MARWEN MABROUK,individual,person,2184053.9,4,0.5135,0.2321
101,CO_TUNISIE_TRADENET,TUNISIE TRADENET,company,private,2167244.5,4,-0.2552,-0.1924
102,CO_UNIPACK,UNIPACK,company,private,2163153.4,5,0.4773,-0.1906
103,CO_SLAMA_HUILES,SLAMA HUILES,company,private,2136635.6,6,0.5561,0.0229
104,PERSON_MABROUK_MOHAMED,MOHAMED MABROUK,individual,person,2112111.7,3,-0.4586,-0.2211
105,CO_ADWYA,ADWYA,company,private,2089236.8,3,-0.3274,-0.0632
106,CO_NARJES,SOCIETE NARJES,company,private,2082405.9,3,0.7669,-0.2108
107,PERSON_JENDOUBI_KAMEL,KAMEL JENDOUBI,individual,person,2077086.3,5,0.4335,0.0678
108,PERSON_SIOUD_TAHER,TAHER SIOUD,individual,person,2076804.9,3,0.3522,0.3582
109,PERSON_BENSALEM_ALI,ALI BEN-SALEM,individual,person,2063301.4,2,-0.0715,0.5841
110,PERSON_ELABIDINE_MOHAMED_ZINE,MOHAMED ZINE EL-ABIDINE,individual,person,2051372.0,3,0.5801,0.3843
111,PERSON_MILED_AZIZ,AZIZ MILED,individual,person,2029090.0,4,0.3245,0.0672
112,PARTYSTR_RCDS_PARLIAMENTARY_BLOC,RCDS PARLIAMENTARY BLOC,party / parliamentary bloc,state,2026885.2,4,0.4098,0.4928
113,PERSON_TRIKI_NABIL,NABIL TRIKI,individual,person,2017287.3,5,0.4373,0.7494
114,PERSON_BOUAJINA_RIDHA,RIDHA BOUAJINA,individual,person,1955348.3,4,0.5510,0.3265
115,PERSON_BENAYED_AHMED,AHMED BEN-AYED,individual,person,1948791.9,4,-0.4695,-0.1590
116,CO_ARAB_INTERNATIONAL_LEASE,ARAB INTERNATIONAL LEASE,company,private,1934382.9,4,0.0433,0.1047
117,PERSON_BENHAMED_ADEL,ADEL BEN-HAMMED,individual,person,1924770.0,2,0.8903,0.1130
118,CO_PARTNER_INVESTMENT,PARTNER INVESTMENT,company,private,1916261.2,5,0.2897,-0.3259
119,CO_SICAR_AVENIR,SICAR AVENIR,company,private,1908835.5,4,-0.1665,-0.3965
120,CO_GBH_CONSULTING,GBH CONSULTING,company,private,1901662.0,2,0.8996,-0.0653
121,CO_BH_EQUITY,BH EQUITY,company,private,1894915.7,5,-0.3321,-0.3351
122,CO_TELNET_HOLDING,TELNET HOLDING,company,private,1887364.9,4,0.5763,-0.5031
123,ORGE_08a27bf808b2abb8ea2c,la société se sont réunis en assemblée générale extraordinaire au siège de la soc,company,private,1880126.0,2,-0.4616,-0.1045
124,PERSON_AMAR_HABIB,HABIB AMMAR,individual,person,1874115.4,4,0.1592,0.1941
125,CO_MED_OIL_COMPANY,MED OIL COMPANY SA,company,private,1871967.7,5,0.3319,-0.0268
126,PERSON_ZOUARI_ABDERAHIM,ABDERRAHIM ZOUARI,individual,person,1869788.5,4,0.4811,0.4084
127,CO_EKUITY_CAPITAL,EKUITY CAPITAL,company,private,1859433.0,4,0.2625,-0.3732
128,CO_BT_SICAR,BT SICAR,company,private,1839702.3,5,0.4369,-0.1818
129,PERSON_TROUDI_MOHAMED,MOHAMED TROUDI,individual,person,1837791.6,4,0.1070,0.2407
130,ORG_INJAZ_TUNISIE,INJAZ TUNISIE,association / union,private,1834645.8,2,0.6217,-0.4602
131,CO_UNION_FACTORING_UNIFACTOR,UNION DE FACTORING UNIFACTOR,association / union,private,1830062.2,5,0.0820,-0.5081
132,CO_ARAB_TUNISIAN_LEASE,ARAB TUNISIAN LEASE,company,private,1824841.2,4,0.1796,-0.4440
133,CO_ATTIJARI_BANK,ATTIJARI BANK,company,private,1824758.9,5,-0.0035,0.0646
134,ORG_CHAMBRE_TUNISO_ITALIENNE_COMMERCE_D_INDUSTRIE_CTICI,CHAMBRE TUNISO-ITALIENNE DE COMMERCE ET D'INDUSTRIE CTICI,association / union,private,1797469.6,3,0.0069,-0.8219
135,ORGE_41b9e5652721b21143f0,MINISTERE DE LA JEUNESSE ET DES SPORTS,state body,state,1785165.2,3,-0.4312,0.3048
136,PERSON_SELAMI_MOHAMED,MOHAMED SELLAMI,individual,person,1771485.0,3,-0.5152,0.2688
137,PERSON_ELOUMI_FAOUZI,FAOUZI ELLOUMI,individual,person,1754141.8,7,0.0662,0.4715
138,CO_AL_BADR_SICAF,AL BADR SICAF,company,private,1715589.0,4,-0.2503,-0.7406
139,CO_NEWREST_CATERING_TUNISIE,NEWREST CATERING TUNISIE,company,private,1710460.5,4,-0.1163,0.1445
140,CO_POLYMERES,POLYMERES,company,private,1706337.8,3,0.2433,-0.4598
141,PERSON_FEHRI_NOOMANE,NOOMANE FEHRI,individual,person,1705656.6,3,0.4828,0.5089
142,ORGE_0ea8178ae633974dd328,MINISTÈRE DES TRANSPORTS ET DES COMMUNICATIONS,state body,state,1703820.0,3,-0.7691,0.2724
143,CO_EPARGNE_INVEST_SICAF,EPARGNE INVEST SICAF,company,private,1692223.6,5,-0.3309,-0.4562
144,CO_WIFAK_BANK,WIFAK BANK,company,private,1689141.0,4,-0.1920,0.1513
145,ORG_ASSOCIATION_ANCIENS_DIRIGEANTS_LUTICA,ASSOCIATION DES ANCIENS DIRIGEANTS DE LUTICA,association / union,private,1674170.7,4,0.3290,0.5334
146,CO_STEG,STEG,company,private,1663116.0,4,-0.2507,-0.3153
147,CO_NOUVELLE_BRASSERIE,SOCIETE NOUVELLE DE BRASSERIE,company,private,1643185.5,4,-0.2128,-0.2339
148,CO_TUNISIE_LEASING,TUNISIE LEASING,company,private,1614198.8,5,0.1697,-0.3693
149,CO_TUNISAIR,TUNISAIR,company,private,1601817.6,4,-0.3313,-0.1197
150,CO_OFFICE_COMMERCE_TUNISIE,OFFICE DU COMMERCE DE LA TUNISIE,company,private,1584320.9,4,0.0070,-0.1694
151,PERSON_ABID_AHMED,AHMED ABID,individual,person,1544322.9,3,-0.5507,0.2039
152,PERSON_ZOUARI_HAFEDH,HAFEDH ZOUARI,individual,person,1543242.0,3,-0.2125,0.6520
153,CO_INTERCHAUX,INTERCHAUX,company,private,1540965.2,4,-0.1275,-0.1277
